term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Caffeine,-6.906559766475928e-8,2.194898356790003e-8,-3.1466421873752,0.0018114723975991862,Caffeine,ASPASN_PWY,0.0018114723975991862,-1.1208560545784334e-7,-2.604558987167522e-8
Vitamin.D,-2.7909531967163663e-07,1.4022465762577497e-7,-1.9903440978010674,0.04800978726370795,Vitamin.D,ASPASN_PWY,0.04800978726370795,-5.539356486181556e-7,-4.254990725117693e-9
factor(Breastfeeding.Status)2,-3.0255863263263256e-5,9.270269868162696e-6,-3.263752155390031,0.0011785968957054138,Breastfeeding.Status,ASPASN_PWY,0.0011785968957054138,-4.842559220486214e-5,-1.2086134321664372e-5
factor(Baby.Foof.Origin)2,3.257074711538465e-5,1.1752368387490172e-5,2.7714198569587585,0.005800751420790601,Baby.Foof.Origin,ASPASN_PWY,0.005800751420790601,9.536105075903912e-6,5.560538915486539e-5
factor(Child.Food.Origin)2,-3.926232592997812e-5,1.9525539699704286e-5,-2.0108189854835485,0.04490915955918371,Child.Food.Origin,ASPASN_PWY,0.04490915955918371,-7.753238374139852e-5,-9.922681185577174e-7
factor(Age.4.12.months.Home.Grown.Fruit.Veg)2,-2.054704805925584e-5,8.152112710833885e-6,-2.52045681752529,0.012045447286680578,Age.4.12.months.Home.Grown.Fruit.Veg,ASPASN_PWY,0.012045447286680578,-3.652518897249025e-5,-4.568907146021425e-6
factor(Age.1.5.years.Home.Grown.Fruit.Veg)2,-1.629852597547379e-5,8.050972529322666e-6,-2.02441703981879,0.04348398449259284,Age.1.5.years.Home.Grown.Fruit.Veg,ASPASN_PWY,0.04348398449259284,-3.2078432132946214e-5,-5.186198180013647e-7
factor(Age.5.10.years.Home.Grown.Fruit.Veg)2,-1.2286393695619547e-5,8.103192999124967e-6,-1.51624102954802,0.13012081404362316,Age.5.10.years.Home.Grown.Fruit.Veg,ASPASN_PWY,0.13012081404362316,-2.8168651973904482e-5,3.5958645826653895e-6
factor(Age.10.18.years.Home.Grown.Fruit.Veg)2,-1.5821750039184935e-5,8.271097435272931e-6,-1.912896101515076,0.056359822150127935,Age.10.18.years.Home.Grown.Fruit.Veg,ASPASN_PWY,0.056359822150127935,-3.2033101012319884e-5,3.896009339500105e-7
factor(Age.4.12.months.Milk.Beverages)2,2.415155797101409e-6,1.329803360550629e-5,0.18161751344209046,0.855960215385506,Age.4.12.months.Milk.Beverages,ASPASN_PWY,0.855960215385506,-2.364899006969092e-5,2.8479301663893738e-5
factor(Age.1.5.years.Milk.Beverages)2,8.441133280423257e-6,9.624190760908649e-6,0.8770746019197051,0.38088855604819427,Age.1.5.years.Milk.Beverages,ASPASN_PWY,0.38088855604819427,-1.0422280610957694e-5,2.730454717180421e-5
factor(Age.5.10.years.Milk.Beverages)2,2.087052741321737e-5,8.209527194002236e-6,2.542232569552249,0.011329830266552056,Age.5.10.years.Milk.Beverages,ASPASN_PWY,0.011329830266552056,4.779854112972988e-6,3.696120071346175e-5
factor(Age.10.18.years.Milk.Beverages)2,2.8442172087939215e-5,7.762683810062564e-6,3.663961174235948,2.7625099496591285e-4,Age.10.18.years.Milk.Beverages,ASPASN_PWY,2.7625099496591285e-4,1.322731182021659e-5,4.365703235566184e-5
factor(Age.4.12.months.Processed.Meat.Seafood)2,1.9895843754789322e-5,1.6394691272376972e-5,1.2135540355255947,0.2255186248287865,Age.4.12.months.Processed.Meat.Seafood,ASPASN_PWY,0.2255186248287865,-1.2237751139069541e-5,5.2029438648648186e-5
factor(Age.1.5.years.Processed.Meat.Seafood)2,2.7610743992142794e-5,8.480990578346312e-6,3.255603662930439,0.0012120046109668193,Age.1.5.years.Processed.Meat.Seafood,ASPASN_PWY,0.0012120046109668193,1.0988002458584023e-5,4.423348552570156e-5
factor(Age.5.10.years.Processed.Meat.Seafood)2,2.9955533838912143e-5,7.710979404199476e-6,3.884789761284807,1.1688756993650062e-4,Age.5.10.years.Processed.Meat.Seafood,ASPASN_PWY,1.1688756993650062e-4,1.484201420668117e-5,4.5069053471143113e-5
factor(Age.10.18.years.Processed.Meat.Seafood)2,3.1738296785197824e-5,7.944825883571422e-6,3.994838559121521,7.49663374882859e-5,Age.10.18.years.Processed.Meat.Seafood,ASPASN_PWY,7.49663374882859e-5,1.6166438053397837e-5,4.731015551699781e-5
factor(Age.4.12.months.Processed.Carbs)2,2.3872237921138474e-5,1.1708148127855299e-5,2.0389422529036105,0.04200770840815786,Age.4.12.months.Processed.Carbs,ASPASN_PWY,0.04200770840815786,9.242675905420877e-7,4.6820208251734856e-5
factor(Age.1.5.years.Processed.Carbs)2,2.8685233829523327e-5,7.786288986946382e-6,3.6840700207266606,2.558342566727592e-4,Age.1.5.years.Processed.Carbs,ASPASN_PWY,2.558342566727592e-4,1.342410741510842e-5,4.394636024393824e-5
factor(Age.5.10.years.Processed.Carbs)2,3.316951306417553e-5,7.788500966666283e-6,4.258780117783448,2.4767723956405954e-5,Age.5.10.years.Processed.Carbs,ASPASN_PWY,2.4767723956405954e-5,1.7904051169509615e-5,4.843497495884145e-5
factor(Age.10.18.years.Processed.Carbs)2,4.134930698506726e-5,8.29370897915996e-6,4.985623089617425,8.659902535263947e-7,Age.10.18.years.Processed.Carbs,ASPASN_PWY,8.659902535263947e-7,2.509363738591374e-5,5.7604976584220785e-5
factor(Age.4.12.months.Processed.Fruit)2,1.4773346986346954e-5,1.2912199175052366e-5,1.1441387161135577,0.2531411356815045,Age.4.12.months.Processed.Fruit,ASPASN_PWY,0.2531411356815045,-1.0534563396755684e-5,4.008125736944959e-5
factor(Age.1.5.years.Processed.Fruit)2,3.644912695030424e-5,8.967425786316096e-6,4.064614284951657,5.628124115865994e-5,Age.1.5.years.Processed.Fruit,ASPASN_PWY,5.628124115865994e-5,1.8872972409124693e-5,5.4025281491483794e-5
factor(Age.5.10.years.Processed.Fruit)2,3.723450172390804e-5,8.001964540618486e-6,4.653170047793053,4.2429375658832515e-6,Age.5.10.years.Processed.Fruit,ASPASN_PWY,4.2429375658832515e-6,2.1550651224295808e-5,5.291835222352027e-5
factor(Age.10.18.years.Processed.Fruit)2,3.9161208459268544e-5,7.694107561231685e-6,5.089766181147532,5.178659975434228e-7,Age.10.18.years.Processed.Fruit,ASPASN_PWY,5.178659975434228e-7,2.408075763925444e-5,5.424165927928265e-5
factor(Age.4.12.months.Processed.Veg)2,-3.311855249093339e-5,8.053573065747148e-6,-4.1122806263210965,4.6135741998714334e-5,Age.4.12.months.Processed.Veg,ASPASN_PWY,4.6135741998714334e-5,-4.89035556997978e-5,-1.733354928206898e-5
factor(Age.1.5.years.Processed.Veg)2,-1.562668393872779e-5,7.802141926465468e-6,-2.002871017472891,0.04575650428209099,Age.1.5.years.Processed.Veg,ASPASN_PWY,0.04575650428209099,-3.0918882114600106e-5,-3.344857628554742e-7
factor(Age.5.10.years.Processed.Veg)2,-6.9632454065227306e-6,8.200022442633605e-6,-0.8491739449784166,0.3962104783290583,Age.5.10.years.Processed.Veg,ASPASN_PWY,0.3962104783290583,-2.3035289394084595e-5,9.108798581039134e-6
factor(Age.10.18.years.Processed.Veg)2,-2.55931554932336e-6,8.848736753615666e-6,-0.2892294821944616,0.77253143514423706,Age.10.18.years.Processed.Veg,ASPASN_PWY,0.77253143514423706,-1.9902839586410063e-5,1.4784208487763343e-5
factor(Age.4.12.months.Fast.food)2,8.068725053533136e-6,2.7295243404806824e-5,0.2956091995176051,0.7676577256396987,Age.4.12.months.Fast.food,ASPASN_PWY,0.7676577256396987,-4.542995201988824e-5,6.156740212695451e-5
factor(Age.1.5.years.Fast.food)2,1.7868876808230858e-5,1.1637061052659692e-5,1.5355145708500741,0.125320486532497,Age.1.5.years.Fast.food,ASPASN_PWY,0.125320486532497,-4.939762854982137e-6,4.067751647144385e-5
factor(Age.5.10.years.Fast.food)2,2.1125697988319288e-5,8.670216241025106e-6,2.4365825950635727,0.01519154812414485,Age.5.10.years.Fast.food,ASPASN_PWY,0.01519154812414485,4.132074155910081e-6,3.811932182072849e-5
factor(Age.10.18.years.Fast.food)2,3.343176859388647e-5,7.688635430188078e-6,4.34820572485756,1.67915704433544e-5,Age.10.18.years.Fast.food,ASPASN_PWY,1.67915704433544e-5,1.836204315071784e-5,4.85014940370551e-5
factor(Age.4.12.months.Soft.Drink)2,2.4463699060014546e-5,2.2464196487039713e-5,1.0890084171997163,0.2767035328843485,Age.4.12.months.Soft.Drink,ASPASN_PWY,0.2767035328843485,-1.956612605458329e-5,6.849352417461239e-5
factor(Age.1.5.years.Soft.Drink)2,1.849652367733954e-5,9.794414297756715e-6,1.8884767496077772,0.05956975792600513,Age.1.5.years.Soft.Drink,ASPASN_PWY,0.05956975792600513,-7.005283462636208e-7,3.76935757009427e-5
factor(Age.5.10.years.Soft.Drink)2,3.0239070278078736e-5,7.849619419745182e-6,3.852297628852479,1.330024576077791e-4,Age.5.10.years.Soft.Drink,ASPASN_PWY,1.330024576077791e-4,1.4853816215378178e-5,4.562432434077929e-5
factor(Age.10.18.years.Soft.Drink)2,3.589148880308881e-5,7.873329110685311e-6,4.558616602775892,6.551869710172494e-6,Age.10.18.years.Soft.Drink,ASPASN_PWY,6.551869710172494e-6,2.0459763746145603e-5,5.1323213860032015e-5
factor(Age.4.12.months.Packaged.Snacks)2,2.9643798722998017e-5,1.4426237126161467e-5,2.05485314456949,0.04043729516002688,Age.4.12.months.Packaged.Snacks,ASPASN_PWY,0.04043729516002688,1.3683739557215433e-6,5.791922349027449e-5
factor(Age.1.5.years.Packaged.Snacks)2,2.492555078082539e-5,7.901930953967394e-6,3.1543620067080935,0.0017100412877017383,Age.1.5.years.Packaged.Snacks,ASPASN_PWY,0.0017100412877017383,9.437766111049299e-6,4.041333545060148e-5
factor(Age.5.10.years.Packaged.Snacks)2,3.229905078431373e-5,7.780169888351669e-6,4.1514582904765724,3.9135358269752065e-5,Age.5.10.years.Packaged.Snacks,ASPASN_PWY,3.9135358269752065e-5,1.7049917803144458e-5,4.7548183765483e-5
factor(Age.10.18.years.Packaged.Snacks)2,3.710286665256028e-5,8.459524127010056e-6,4.385928344845794,1.422351248468691e-5,Age.10.18.years.Packaged.Snacks,ASPASN_PWY,1.422351248468691e-5,2.0522199363620574e-5,5.368353394149999e-5
