term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
factor(Breastfeeding.Status)2,-0.408237687687688,0.23450635278166634,-1.7408385011546856,0.08235803983897383,Breastfeeding.Status,kpsF.1,0.08235803983897383,-0.8678701391397541,0.05139476376437807
factor(Baby.Foof.Origin)2,-0.34783333333333294,0.3049929489266877,-1.1404635240172156,0.25466915283785474,Baby.Foof.Origin,kpsF.1,0.25466915283785474,-0.9456195132296408,0.24995284656297495
factor(Child.Food.Origin)2,-0.4164696936542675,0.5042357392280611,-0.8259424337748146,0.40925139403649624,Child.Food.Origin,kpsF.1,0.40925139403649624,-1.4047717425412671,0.5718323552327322
factor(Age.4.12.months.Home.Grown.Fruit.Veg)2,0.12763110549686135,0.21108984496553443,0.6046293014128664,0.5457128256002919,Age.4.12.months.Home.Grown.Fruit.Veg,kpsF.1,0.5457128256002919,-0.28610499063558614,0.5413672016293088
factor(Age.1.5.years.Home.Grown.Fruit.Veg)2,0.0026488665923448365,0.20806384283898716,0.012731027920092274,0.9898477066440303,Age.1.5.years.Home.Grown.Fruit.Veg,kpsF.1,0.9898477066440303,-0.40515626537207,0.4104539985567596
factor(Age.5.10.years.Home.Grown.Fruit.Veg)2,-0.018596347134713122,0.20901973094546852,-0.08896933820838546,0.9291436195984284,Age.5.10.years.Home.Grown.Fruit.Veg,kpsF.1,0.9291436195984284,-0.42827501978783145,0.39108232551840516
factor(Age.10.18.years.Home.Grown.Fruit.Veg)2,-0.3187295846394986,0.21315608143990372,-1.4952873147527803,0.13550074528830633,Age.10.18.years.Home.Grown.Fruit.Veg,kpsF.1,0.13550074528830633,-0.7365155042617099,0.09905633498271271
factor(Age.4.12.months.Milk.Beverages)2,0.21409047906602213,0.3143705727363842,0.6810131024749189,0.4961943508026134,Age.4.12.months.Milk.Beverages,kpsF.1,0.4961943508026134,-0.4020758434972909,0.8302568016293352
factor(Age.1.5.years.Milk.Beverages)2,0.05863301587301546,0.24822391455138437,0.23621018135574504,0.8133711847926905,Age.1.5.years.Milk.Beverages,kpsF.1,0.8133711847926905,-0.4278858566476979,0.5451518883937289
factor(Age.5.10.years.Milk.Beverages)2,0.19243193290362645,0.21249964034337682,0.9055635698614686,0.36562407128400387,Age.5.10.years.Milk.Beverages,kpsF.1,0.36562407128400387,-0.22406736216939208,0.608931227976645
factor(Age.10.18.years.Milk.Beverages)2,0.5265230514271607,0.18459594845962368,2.8523001497095484,0.004529277268999525,Age.10.18.years.Milk.Beverages,kpsF.1,0.004529277268999525,0.16471499244629828,0.8883311104080232
factor(Age.4.12.months.Processed.Meat.Seafood)2,0.5074441379310356,0.4218962917477589,1.2027698461839613,0.229662067272216,Age.4.12.months.Processed.Meat.Seafood,kpsF.1,0.229662067272216,-0.31947259389457183,1.334360869756643
factor(Age.1.5.years.Processed.Meat.Seafood)2,-0.04143275379278618,0.22064462972948473,-0.18778047688531402,0.8511285931501131,Age.1.5.years.Processed.Meat.Seafood,kpsF.1,0.8511285931501131,-0.4738962280625762,0.3910307204770039
factor(Age.5.10.years.Processed.Meat.Seafood)2,-0.052814417712691866,0.2015267497657193,-0.2620715005531036,0.7933794529933086,Age.5.10.years.Processed.Meat.Seafood,kpsF.1,0.7933794529933086,-0.44780684725350167,0.34217801182811797
factor(Age.10.18.years.Processed.Meat.Seafood)2,-0.12838299529088937,0.20775301893385528,-0.6179597098021673,0.5368968208073166,Age.10.18.years.Processed.Meat.Seafood,kpsF.1,0.5368968208073166,-0.5355789124012458,0.278812921819467
