term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(crp).9,-3.1699144126306094e-5,6.81173515598768e-5,-0.4653607840058458,0.6419483787823526,crp,PANTO_PWY,0.9911532192024548
factor(crp)<0.6,-1.2838173108325222e-5,2.3952972346608673e-5,-0.5359741130475143,0.5923002412517178,crp,PANTO_PWY,0.9793777511062518
factor(crp)<1,-3.293638916085033e-5,9.521689630262524e-5,-0.3459090816840901,0.7296087096162728,crp,PANTO_PWY,0.9911532192024548
factor(crp)<5,-3.523653064944118e-5,2.3064293915973758e-5,-1.5277524114899192,0.12743305476297567,crp,PANTO_PWY,0.7583976942021948
factor(crp)0,-2.0980438370220836e-5,1.8935680044988702e-5,-1.1079844146275208,0.2685921829828345,crp,PANTO_PWY,0.8294758592116948
factor(crp)1,-9.61326618754851e-5,4.323134240522973e-5,-2.223679777842287,0.02677651230131745,crp,PANTO_PWY,0.40164768451976174
factor(crp)1.1,-4.3232253634748636e-5,5.598542709444218e-5,-0.7722054805765769,0.4404883609671222,crp,PANTO_PWY,0.9691453950717518
factor(crp)1.2,-1.30064732363689e-6,9.543961057313878e-5,-0.013627961344625955,0.9891341816966303,crp,PANTO_PWY,0.9946881982411081
factor(crp)1.3,-3.688659040850842e-5,9.555896690859973e-5,-0.3860086771740606,0.6997133056363789,crp,PANTO_PWY,0.9911532192024548
factor(crp)1.4,1.500048043666049e-4,9.544324563244249e-5,1.571664955153371,0.11688762949896186,crp,PANTO_PWY,0.7583976942021948
factor(crp)1.5,1.0972819589908331e-4,9.547519909130798e-5,1.1492848084468976,0.2511849606847767,crp,PANTO_PWY,0.8294758592116948
factor(crp)1.6,-1.506232594110011e-4,9.560482976435965e-5,-1.5754775128228058,0.11600552006751653,crp,PANTO_PWY,0.7583976942021948
factor(crp)1.7,-8.555357060318333e-6,6.785828028487119e-5,-0.1260768328404828,0.8997399576236866,crp,PANTO_PWY,0.9946881982411081
factor(crp)1.8,-4.205836296756398e-5,9.54397441997454e-5,-0.4406797537044968,0.6597036106439708,crp,PANTO_PWY,0.9911532192024548
factor(crp)10,-4.519248014983377e-6,6.811029963424245e-5,-0.06635190329879749,0.9471336934254793,crp,PANTO_PWY,0.9946881982411081
factor(crp)10.25,-9.092059517147585e-6,9.51657012907297e-5,-0.09553924779444949,0.9239385206817691,crp,PANTO_PWY,0.9946881982411081
factor(crp)10.8,-5.731005681689776e-5,9.544629608962968e-5,-0.6004429628477176,0.5485806543804683,crp,PANTO_PWY,0.9691453950717518
factor(crp)11,-5.898435483565562e-5,5.508922318618106e-5,-1.0707058735664228,0.2850034274646453,crp,PANTO_PWY,0.8480249646996171
factor(crp)11.4,8.916943236791007e-5,9.543292381921023e-5,0.9343676039606014,0.35072698826007964,crp,PANTO_PWY,0.9154598818807578
factor(crp)113.2,4.9023302223373345e-6,9.580215766961132e-5,0.05117139677838765,0.9592167078016934,crp,PANTO_PWY,0.9946881982411081
factor(crp)12,-8.679394143405346e-5,9.549417214322489e-5,-0.9088925479544178,0.36400169898284107,crp,PANTO_PWY,0.9154598818807578
factor(crp)12.31,1.719585509624434e-5,9.515510137242859e-5,0.18071395908603258,0.8566915817673871,crp,PANTO_PWY,0.9946881982411081
factor(crp)13,6.2585385761631e-5,6.767800663083587e-5,0.9247522035188823,0.35570080648765834,crp,PANTO_PWY,0.9154598818807578
factor(crp)13.5,-1.5391082760434226e-4,9.561337712932008e-5,-1.6097206502409496,0.10831629109180459,crp,PANTO_PWY,0.7583976942021948
factor(crp)14,6.078165890719099e-5,9.55625242545663e-5,0.6360407427630987,0.5251452315110093,crp,PANTO_PWY,0.9691453950717518
factor(crp)14.3,8.265108634637913e-6,9.518432677341512e-5,0.08683266368330662,0.9308517509381471,crp,PANTO_PWY,0.9946881982411081
factor(crp)15,8.981760213189355e-5,9.531085750003979e-5,0.9423648521036132,0.3466240972669611,crp,PANTO_PWY,0.9154598818807578
factor(crp)16,-1.0815142467523992e-4,4.8300503509949265e-5,-2.239136588979081,0.0257439957485371,crp,PANTO_PWY,0.40164768451976174
factor(crp)19,4.444730852369544e-5,9.553973925280485e-5,0.4652232554883235,0.6420467600116024,crp,PANTO_PWY,0.9911532192024548
factor(crp)2,1.0804194261695822e-6,9.510899447768535e-5,0.011359802846228935,0.9909425394103746,crp,PANTO_PWY,0.9946881982411081
factor(crp)2.1,8.404657172980512e-5,6.805298351386099e-5,1.235016708895453,0.21761221622036647,crp,PANTO_PWY,0.8294758592116948
factor(crp)2.2,2.1949161674402658e-4,6.898316320297566e-5,3.1818143232747347,0.0015879579426228692,crp,PANTO_PWY,0.16673558397540125
factor(crp)2.3,-1.3335834197320386e-4,9.520677628001256e-5,-1.4007232172317627,0.16213949448430726,crp,PANTO_PWY,0.7583976942021948
factor(crp)2.6,2.5815328029101823e-5,9.571388006960187e-5,0.2697135254607718,0.7875318288458353,crp,PANTO_PWY,0.9946881982411081
factor(crp)2.7,-5.666341981991384e-5,9.584881368576458e-5,-0.591174972761603,0.5547661234099306,crp,PANTO_PWY,0.9691453950717518
factor(crp)2.8,-6.535737638191712e-5,9.5582683931645e-5,-0.6837784177378488,0.4945454187285694,crp,PANTO_PWY,0.9691453950717518
factor(crp)2.9,-1.6995029584534644e-4,9.536090044435216e-5,-1.782180065974953,0.07554427904241096,crp,PANTO_PWY,0.7583976942021948
