term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
sucmgkgday,2.8078956692737667e-6,2.373809254634884e-6,1.1828649095504724,0.23746582449151887,sucmgkgday,P461_PWY,0.23746582449151887
sacmgkgday,9.400461951301056e-6,3.1577691083536035e-6,2.976931380585411,0.003063082538177673,sacmgkgday,P461_PWY,0.003063082538177673
totaladmgkgday,5.1547994701809275e-9,1.34217678863841e-8,0.3840626297382393,0.7011072102004059,totaladmgkgday,P461_PWY,0.7011072102004059
totalasmgkgday,1.2285238856207283e-6,7.654073107562885e-7,1.6050589906266255,0.10915826221457467,totalasmgkgday,P461_PWY,0.10915826221457467
totalemmgkgday,4.669202913980314e-9,1.3463666029883475e-8,0.3468002625448906,0.7288979293402813,totalemmgkgday,P461_PWY,0.7288979293402813
p80,-2.7526926857534466e-13,2.5194186607969133e-12,-0.10925904172205927,0.9130439635362265,p80,PENTOSE_P_PWY,0.9130439635362265
cmc,7.195215169409252e-14,8.421602547748472e-13,0.08543760084394986,0.9319501170924955,cmc,PENTOSE_P_PWY,0.9319501170924955
crn,-8.620892641624795e-13,1.8122627685025936e-12,-0.4756977184245706,0.6345121840727788,crn,PENTOSE_P_PWY,0.6345121840727788
alsio,1.3751614789473592e-10,6.187611246958214e-10,0.2222443240310837,0.8242208507495521,alsio,PENTOSE_P_PWY,0.8242208507495521
so32,1.752235578396826e-10,1.6436880925433684e-10,1.0660389804768227,0.28695684224405804,so32,PENTOSE_P_PWY,0.28695684224405804
tio2,5.545339239796345e-11,8.153349332060503e-11,0.6801302156882973,0.4967590324386666,tio2,PENTOSE_P_PWY,0.4967590324386666
asp,5.679645476814864e-11,6.090516870146409e-11,0.9325391584833311,0.35153982612875834,asp,PENTOSE_P_PWY,0.35153982612875834
suc,9.847208589896015e-11,9.571388661841742e-11,1.0288171275662312,0.30409817264861666,suc,PENTOSE_P_PWY,0.30409817264861666
sac,2.45539417789119e-10,1.2716484672508993e-10,1.9308749557174083,0.05410348484796056,sac,PENTOSE_P_PWY,0.05410348484796056
totalad,-3.253415252991692e-14,4.687830678573337e-13,-0.0694012961658806,0.944699903937542,totalad,PENTOSE_P_PWY,0.944699903937542
totalas,3.897870285182545e-11,3.0753832657947556e-11,1.2674421196654453,0.2056288715004583,totalas,PENTOSE_P_PWY,0.2056288715004583
