term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
mufa_g,2.754713335529607e-7,9.386088628198744e-8,2.9348895420117675,0.0035081779355925747,mufa_g,GLYCOLYSIS_E_D,0.0035081779355925747
pufa_g,2.850807613154847e-7,3.7460247807029814e-7,0.7610220914288406,0.447044246449249,pufa_g,GLYCOLYSIS_E_D,0.447044246449249
omega3fa_g,4.9429785903514144e-8,2.1537678517214332e-8,2.295037780604191,0.022196534184858594,omega3fa_g,GLYCOLYSIS_E_D,0.022196534184858594
omega6fa_g,-1.3989136748923427e-7,3.461166952426838e-7,-0.4041739951063262,0.6862802657562188,omega6fa_g,GLYCOLYSIS_E_D,0.6862802657562188
cholesterol_mg,-1.178760515158978e-9,4.031583663845679e-9,-0.29238150896627374,0.7701303024622924,cholesterol_mg,GLYCOLYSIS_E_D,0.7701303024622924
alcohol_g,-1.272029204633391e-6,4.2876915012129277e-7,-2.966699456510693,0.0031719219353759003,alcohol_g,GLYCOLYSIS_E_D,0.0031719219353759003
fiber_g,-1.827603324975077e-7,1.235258369984844e-7,-1.4795312214702911,0.1397027799341933,fiber_g,GLYCOLYSIS_E_D,0.1397027799341933
b1_mg,1.4805526830106174e-6,9.34403940418263e-7,1.584488912095003,0.11378810719624174,b1_mg,GLYCOLYSIS_E_D,0.11378810719624174
b2_mg,9.86308394717259e-7,7.562655431602196e-7,1.3041826427735361,0.19284096876847778,b2_mg,GLYCOLYSIS_E_D,0.19284096876847778
b3_mg,2.356146652298838e-7,1.6044833853480918e-7,1.4684768155375278,0.14267651913206478,b3_mg,GLYCOLYSIS_E_D,0.14267651913206478
b6_mg,4.372891393567174e-7,1.391298812527365e-7,3.1430281936513658,0.0017831039248362736,b6_mg,GLYCOLYSIS_E_D,0.0017831039248362736
b12_mcg,2.3349093828041253e-7,9.241294774017527e-8,2.5266041608897356,0.011860447667539638,b12_mcg,GLYCOLYSIS_E_D,0.011860447667539638
vitaminc_mg,-5.2887656398885205e-8,4.7549648905289365e-8,-1.1122617646289719,0.2666221097726629,vitaminc_mg,GLYCOLYSIS_E_D,0.2666221097726629
vitaminetocoa_mg,-2.711924009206792e-7,4.3643759998791637e-7,-0.6213772620145186,0.5346688864993583,vitaminetocoa_mg,GLYCOLYSIS_E_D,0.5346688864993583
bcarotene_mcg,-3.0417916357342333e-9,1.535108945001242e-9,-1.981482581831853,0.048149415023221974,bcarotene_mcg,GLYCOLYSIS_E_D,0.048149415023221974
folicacid_mcg_dfe,3.78333282617075e-8,2.49736189731654e-8,1.514931748672873,0.1308253122516363,folicacid_mcg_dfe,GLYCOLYSIS_E_D,0.1308253122516363
folate_mcg,-6.710990879653291e-9,1.6130131353454896e-8,-0.41605308305290833,0.6775703915402183,folate_mcg,GLYCOLYSIS_E_D,0.6775703915402183
iron_mg,-8.192544861401807e-9,6.992308763496415e-8,-0.1171650900797068,0.9067857752878854,iron_mg,GLYCOLYSIS_E_D,0.9067857752878854
zinc_mg,1.9438531816283805e-7,1.6799935380422327e-7,1.1570599157742205,0.2479118381790736,zinc_mg,GLYCOLYSIS_E_D,0.2479118381790736
selenium_mcg,6.40739275338192e-9,2.343869078417733e-8,0.2733682018497097,0.7847061853614691,selenium_mcg,GLYCOLYSIS_E_D,0.7847061853614691
magnesium_mg,4.138249776691217e-9,8.366902910276292e-9,0.49459756149537587,0.621127761483858,magnesium_mg,GLYCOLYSIS_E_D,0.621127761483858
caffeine_mg,-8.56147142319628e-9,2.125533445092697e-8,-0.40279165886391893,0.6873827538541013,caffeine_mg,GLYCOLYSIS_E_D,0.6873827538541013
vitd_iu,-1.1052182841567626e-7,1.51148460748201e-7,-0.7312137210566446,0.4655838539812327,vitd_iu,GLYCOLYSIS_E_D,0.4655838539812327
protein_g,2.242763218451789e-9,2.1959370697118476e-8,0.10213239939276064,0.9186972811691729,protein_g,HOMOSER_METSYN_PWY,0.9186972811691729
total_fat_g,3.117612057341986e-8,4.633326119887767e-8,0.6728669592153603,0.5013788546090152,total_fat_g,HOMOSER_METSYN_PWY,0.5013788546090152
sfa_g,1.4098268467426894e-7,1.71384622840582e-7,0.822609883766572,0.41116749753664716,sfa_g,HOMOSER_METSYN_PWY,0.41116749753664716
mufa_g,4.1218250004226376e-7,1.011051222307935e-7,4.076771690175809,5.4034017889012664e-5,mufa_g,HOMOSER_METSYN_PWY,5.4034017889012664e-5
pufa_g,5.543057528721997e-7,4.064570585816998e-7,1.3637498504919718,0.17333113083026308,pufa_g,HOMOSER_METSYN_PWY,0.17333113083026308
omega3fa_g,6.155299424550414e-8,2.3385995109434837e-8,2.6320451174930426,0.008782921091953022,omega3fa_g,HOMOSER_METSYN_PWY,0.008782921091953022
omega6fa_g,-1.5908007006589817e-7,3.766766520289053e-7,-0.42232527343821336,0.6729929702873058,omega6fa_g,HOMOSER_METSYN_PWY,0.6729929702873058
cholesterol_mg,1.0171796012652727e-9,4.380806372207393e-9,0.23219003873771715,0.816496441375162,cholesterol_mg,HOMOSER_METSYN_PWY,0.816496441375162
alcohol_g,-1.1781599816031141e-6,4.6734019367807683e-7,-2.5209900572230244,0.012050167526399995,alcohol_g,HOMOSER_METSYN_PWY,0.012050167526399995
fiber_g,-1.8911175445880123e-7,1.343534346626668e-7,-1.4075691844694633,0.15995367922708995,fiber_g,HOMOSER_METSYN_PWY,0.15995367922708995
b1_mg,2.5586380856762833e-6,1.0109470396542156e-6,2.530931874088518,0.011717191670397809,b1_mg,HOMOSER_METSYN_PWY,0.011717191670397809
b2_mg,2.1271432860269365e-6,8.171473084021719e-7,2.6031331978395618,0.009544070833929223,b2_mg,HOMOSER_METSYN_PWY,0.009544070833929223
b3_mg,4.0950714919392163e-7,1.7368532878154143e-7,2.3577532545019566,0.018814908301580134,b3_mg,HOMOSER_METSYN_PWY,0.018814908301580134
b6_mg,6.478110902654061e-7,1.4973796846237258e-7,4.32629811207966,1.8712413667379217e-5,b6_mg,HOMOSER_METSYN_PWY,1.8712413667379217e-5
b12_mcg,3.475528411943186e-7,9.978525671891234e-8,3.48300793746865,5.445190586240424e-4,b12_mcg,HOMOSER_METSYN_PWY,5.445190586240424e-4
vitaminc_mg,-3.670388494383777e-8,5.170887993713973e-8,-0.7098178299057551,0.47818639220456316,vitaminc_mg,HOMOSER_METSYN_PWY,0.47818639220456316
vitaminetocoa_mg,-1.3796167536109352e-7,4.745779561603612e-7,-0.29070392665789113,0.7714128970743814,vitaminetocoa_mg,HOMOSER_METSYN_PWY,0.7714128970743814
bcarotene_mcg,-2.026141766771541e-9,1.6720364542463555e-9,-1.2117808565871209,0.22623644195682005,bcarotene_mcg,HOMOSER_METSYN_PWY,0.22623644195682005
folicacid_mcg_dfe,5.5898578498656436e-8,2.7722389981134982e-8,2.01636938722438,0.044637662974480644,folicacid_mcg_dfe,HOMOSER_METSYN_PWY,0.044637662974480644
folate_mcg,3.6220148432250867e-9,1.7529283960122224e-8,0.20662651432111503,0.8363954264324022,folate_mcg,HOMOSER_METSYN_PWY,0.8363954264324022
iron_mg,-1.3051094868643867e-8,7.625616388558965e-8,-0.17114806467612215,0.8641905584857498,iron_mg,HOMOSER_METSYN_PWY,0.8641905584857498
zinc_mg,2.7882913703109395e-7,1.830035037341872e-7,1.523627315005365,0.12836164262685548,zinc_mg,HOMOSER_METSYN_PWY,0.12836164262685548
selenium_mcg,1.6748075284176566e-8,2.5548789509553466e-8,0.655533025465412,0.512487855550768,selenium_mcg,HOMOSER_METSYN_PWY,0.512487855550768
magnesium_mg,5.207826088593094e-9,9.094350325929527e-9,0.572644103421517,0.5671742495433054,magnesium_mg,HOMOSER_METSYN_PWY,0.5671742495433054
caffeine_mg,-2.4467335489467624e-8,2.333340650046623e-8,-1.048596804284824,0.295191218512642,caffeine_mg,HOMOSER_METSYN_PWY,0.295191218512642
vitd_iu,-1.9211045988988616e-7,1.6113398343577152e-7,-1.192240493244319,0.23471066960748277,vitd_iu,HOMOSER_METSYN_PWY,0.23471066960748277
protein_g,-5.506335827226052e-9,2.7605431091632613e-8,-0.19946567068445667,0.8419889948443849,protein_g,MET_SAM_PWY,0.8419889948443849
total_fat_g,3.057670316836286e-8,5.8259614673160466e-8,0.5248353141348392,0.5999572902430146,total_fat_g,MET_SAM_PWY,0.5999572902430146
sfa_g,1.4929046979844096e-7,2.1550432181386353e-7,0.69274930795767,0.48882582722159973,sfa_g,MET_SAM_PWY,0.48882582722159973
mufa_g,4.386123745041693e-7,1.2777152353128276e-7,3.432786605199884,6.528986794056887e-4,mufa_g,MET_SAM_PWY,6.528986794056887e-4
pufa_g,4.882970381809202e-7,5.115191405882448e-7,0.9546016941211247,0.34029395207374835,pufa_g,MET_SAM_PWY,0.34029395207374835
omega3fa_g,7.048696690129091e-8,2.941427996477487e-8,2.3963519414958556,0.01697197605402366,omega3fa_g,MET_SAM_PWY,0.01697197605402366
omega6fa_g,-3.4597463136298097e-7,4.727002714758256e-7,-0.7319112178269068,0.4646106442709186,omega6fa_g,MET_SAM_PWY,0.4646106442709186
cholesterol_mg,-2.179152377825656e-10,5.507674941524071e-9,-0.039565740552267345,0.9684569665235784,cholesterol_mg,MET_SAM_PWY,0.9684569665235784
alcohol_g,-1.6042431247479434e-6,5.865170427687687e-7,-2.7352029144367216,0.006482701840525665,alcohol_g,MET_SAM_PWY,0.006482701840525665
fiber_g,-2.5081064244513986e-7,1.6882907780930922e-7,-1.4855891277711533,0.13809273242299322,fiber_g,MET_SAM_PWY,0.13809273242299322
b1_mg,2.7629751498548875e-6,1.2732970562385428e-6,2.1699375933664804,0.030536427762582332,b1_mg,MET_SAM_PWY,0.030536427762582332
b2_mg,2.206946254781472e-6,1.0297555166264667e-6,2.143174976145352,0.032637021343287796,b2_mg,MET_SAM_PWY,0.032637021343287796
b3_mg,4.717006223487562e-7,2.1856669176560226e-7,2.158154193295942,0.031446501571427046,b3_mg,MET_SAM_PWY,0.031446501571427046
b6_mg,7.120647669708094e-7,1.8916773238752072e-7,3.7641978258327096,1.8932106390871193e-4,b6_mg,MET_SAM_PWY,1.8932106390871193e-4
b12_mcg,3.727728008670306e-7,1.2590685860962402e-7,2.960702895644612,0.003232358332079062,b12_mcg,MET_SAM_PWY,0.003232358332079062
vitaminc_mg,-6.279776019704616e-8,6.497492467624612e-8,-0.9664922354270016,0.33431937153751,vitaminc_mg,MET_SAM_PWY,0.33431937153751
vitaminetocoa_mg,-2.940644804751818e-7,5.962352226124658e-7,-0.4932021278224861,0.6221125234844593,vitaminetocoa_mg,MET_SAM_PWY,0.6221125234844593
bcarotene_mcg,-3.292649126636406e-9,2.098913179683876e-9,-1.5687400310346913,0.11741611129024744,bcarotene_mcg,MET_SAM_PWY,0.11741611129024744
folicacid_mcg_dfe,6.157801911230786e-8,3.404782257842368e-8,1.8085743653789548,0.0715018665480174,folicacid_mcg_dfe,MET_SAM_PWY,0.0715018665480174
folate_mcg,-2.351385334282682e-9,2.2037799263465853e-8,-0.10669782886083348,0.9150764667442352,folate_mcg,MET_SAM_PWY,0.9150764667442352
iron_mg,-1.1339884353801063e-8,9.521549615794303e-8,-0.11909704629370954,0.9052559608057105,iron_mg,MET_SAM_PWY,0.9052559608057105
zinc_mg,2.948005913945447e-7,2.2867929029612412e-7,1.2891442465681873,0.19806429718096605,zinc_mg,MET_SAM_PWY,0.19806429718096605
selenium_mcg,1.8132219933793133e-8,3.189589358302218e-8,0.5684813277482437,0.5700156598781072,selenium_mcg,MET_SAM_PWY,0.5700156598781072
magnesium_mg,2.464131179369561e-9,1.1430308181321138e-8,0.21557871758841343,0.8294146977667111,magnesium_mg,MET_SAM_PWY,0.8294146977667111
caffeine_mg,-3.411384461469783e-8,2.874442891715611e-8,-1.1867984823430249,0.23622767047088883,caffeine_mg,MET_SAM_PWY,0.23622767047088883
vitd_iu,-2.813199676752076e-7,1.962496086417253e-7,-1.4334804009152822,0.15342690911951976,vitd_iu,MET_SAM_PWY,0.15342690911951976
protein_g,-2.9414742040895055e-9,2.7798950895423073e-8,-0.10581241771155477,0.9157785451503305,protein_g,METSYN_PWY,0.9157785451503305
total_fat_g,3.2682732912390085e-8,5.866386931762913e-8,0.557118602856436,0.5777246194651516,total_fat_g,METSYN_PWY,0.5777246194651516
sfa_g,1.5614328078722287e-7,2.1699896808964093e-7,0.7195577110888428,0.47217254884125226,sfa_g,METSYN_PWY,0.47217254884125226
