term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
tio2,-1.723307561005602e-6,1.2343434093573724e-5,-0.1396132995033202,0.8890257218727622,tio2,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.8890257218727622
asp,-5.683515021106716e-6,9.22094832247563e-6,-0.6163699027846642,0.5379507419317997,asp,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.5379507419317997
suc,-3.96133696950401e-6,1.4498593924809453e-5,-0.27322214761291563,0.7848032410723774,suc,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7848032410723774
sac,5.8901402901165636e-6,1.9317217971258262e-5,0.3049165930042512,0.7605655216065319,sac,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7605655216065319
totalad,-1.9468260507454732e-8,7.093052295453191e-8,-0.27446943426505305,0.7838452619202603,totalad,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7838452619202603
totalas,-1.5179114905295392e-6,4.661113131660289e-6,-0.3256542906498515,0.7448317924662174,totalas,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7448317924662174
totalem,-1.9060087737237355e-8,7.111991201213441e-8,-0.26799931549388506,0.7888181772648553,totalem,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7888181772648553
p80mgkgday,-0.003285586740318966,0.011255930141549996,-0.29189828819127023,0.7704942928216156,p80mgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7704942928216156
cmcmgkgday,-0.0011800373265613187,0.0037631714545769894,-0.31357522260275655,0.7539839911193521,cmcmgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7539839911193521
crnmgkgday,-0.002495244893199276,0.008095936196602444,-0.30820955509091524,0.7580606026949168,crnmgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.7580606026949168
alsiomgkgday,-1.0607160250766339,2.2022077982612713,-0.48166028015798984,0.6302734093760483,alsiomgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.6302734093760483
so32mgkgday,-0.31396843659556317,0.6511663420849437,-0.4821631836656054,0.6299164111465569,so32mgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.6299164111465569
tio2mgkgday,-0.028192394879077598,0.20664037924929454,-0.1364321677181293,0.8915385649170287,tio2mgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.8915385649170287
aspmgkgday,-0.17131931503344655,0.2352155718939406,-0.7283502263646683,0.4667650614398776,aspmgkgday,Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,0.4667650614398776
