term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
factor(age5_10_years_3)2,0.5918321941979869,0.914374440476414,0.6472536501453674,0.517782452487066,age5_10_years_3,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.517782452487066
factor(age_10_18_years_3)2,-0.03654827613530373,0.9026046095840448,-0.04049201139372266,0.9677179975251937,age_10_18_years_3,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.9677179975251937
factor(age_1_5_years_5)2,1.075633312860636,0.9855189719345431,1.091438463887916,0.27563799178876974,age_1_5_years_5,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.27563799178876974
factor(age_5_10_years_5)2,-0.04349013598629655,0.864400261316387,-0.050312497499787695,0.959894648498093,age_5_10_years_5,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.959894648498093
factor(age_10_18_years_5)2,0.16294623001804184,0.8482633275569106,0.19209392263525582,0.8477514253770778,age_10_18_years_5,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.8477514253770778
factor(age_1_5_years_6)2,0.7967251154750374,0.9066988433231884,0.8787097516910019,0.3800057694100162,age_1_5_years_6,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.3800057694100162
factor(age_5_10_years_6)2,-0.6499999477435636,0.9441859420320514,-0.6884236661527192,0.4915242339671594,age_5_10_years_6,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.4915242339671594
factor(age_10_18_years_6)2,1.848512340955221,0.9906316060245111,1.865993705140762,0.06266226113109744,age_10_18_years_6,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.06266226113109744
factor(age_1_5_years_7)2,0.758324386104812,0.9462038492143329,0.8014387034405706,0.42328098410489223,age_1_5_years_7,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.42328098410489223
factor(age_5_10_years_7)2,-0.451017606428036,1.0545536932253627,-0.4276857682311028,0.6690749702734617,age_5_10_years_7,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.6690749702734617
factor(age_10_18_years_7)2,1.07913034621586,1.1894879363373643,0.9072226066778667,0.364752019000803,age_10_18_years_7,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.364752019000803
factor(age_1_5_years_8)2,0.7253269350759753,0.9646528339324827,0.7519046330057658,0.45248397668022466,age_1_5_years_8,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.45248397668022466
factor(age_5_10_years_8)2,-0.4437888602629282,0.876733646241648,-0.5061843607409698,0.6129640715845843,age_5_10_years_8,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.6129640715845843
factor(age_10_18_years_8)2,0.6928341884793217,0.7959983579760842,0.870396504637184,0.38452902741888517,age_10_18_years_8,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.38452902741888517
factor(age_1_5_yers_9)2,0.3755185511043053,0.9126148782287393,0.4114753770321337,0.6809107657698847,age_1_5_yers_9,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.6809107657698847
factor(age_5_10_years_9)2,-0.373263525982581,0.8845771119476072,-0.42196832920620386,0.6732402604427179,age_5_10_years_9,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.6732402604427179
factor(age_10_18_years_9)2,0.5984736244691805,0.9164750007692426,0.6530168569430177,0.5140633538312567,age_10_18_years_9,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.5140633538312567
factor(age_1_5_years_10)2,1.58148316366649,1.1762342980641949,1.3445307336040444,0.17942260350955955,age_1_5_years_10,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.17942260350955955
factor(age_5_10_years_10)2,-0.34692890582996944,0.927988677337737,-0.37385036509848096,0.7086835157267344,age_5_10_years_10,Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,0.7086835157267344
