term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
b2_mg,-0.07895541163543937,0.09790165414039279,-0.8064767886578897,0.4203958893412332,b2_mg,vanR_gene_in_vanB_cluster,0.4203958893412332
b3_mg,-0.026490043533119758,0.020758594297737656,-1.27610006502255,0.20258132373724055,b3_mg,vanR_gene_in_vanB_cluster,0.20258132373724055
b6_mg,-0.007156890908778662,0.018183998863277796,-0.39358179477407756,0.6940770685336146,b6_mg,vanR_gene_in_vanB_cluster,0.6940770685336146
b12_mcg,-0.010114708446308842,0.012024593030942088,-0.8411684636878216,0.40070231432607306,b12_mcg,vanR_gene_in_vanB_cluster,0.40070231432607306
vitaminc_mg,0.009250197062457869,0.006141254593324826,1.5062389812844228,0.13271058467217986,vitaminc_mg,vanR_gene_in_vanB_cluster,0.13271058467217986
vitaminetocoa_mg,-0.0011859142466049456,0.056311792515294376,-0.02105978505803823,0.9832073829655954,vitaminetocoa_mg,vanR_gene_in_vanB_cluster,0.9832073829655954
bcarotene_mcg,4.417975123218714e-4,1.982606048939906e-4,2.2283676202748364,0.02635268062833398,bcarotene_mcg,vanR_gene_in_vanB_cluster,0.02635268062833398
folicacid_mcg_dfe,-0.0019246904419006842,0.0034555744103306496,-0.5569813331603294,0.5779486618451846,folicacid_mcg_dfe,vanR_gene_in_vanB_cluster,0.5779486618451846
folate_mcg,-1.6002063534695455e-4,0.0020860600755235417,-0.07670950478585518,0.9388888882815964,folate_mcg,vanR_gene_in_vanB_cluster,0.9388888882815964
iron_mg,-0.003106907839350522,0.009142555360141264,-0.3398292618380729,0.7341566205883456,iron_mg,vanR_gene_in_vanB_cluster,0.7341566205883456
zinc_mg,-0.0042801013323719135,0.02200319153092849,-0.19452184135904316,0.8458622539323261,zinc_mg,vanR_gene_in_vanB_cluster,0.8458622539323261
selenium_mcg,0.001527201764189694,0.0030643899961404226,0.4983705618779573,0.6184868996044022,selenium_mcg,vanR_gene_in_vanB_cluster,0.6184868996044022
magnesium_mg,8.091148542985666e-4,0.0010826408984181018,0.747352936214402,0.45524437663570927,magnesium_mg,vanR_gene_in_vanB_cluster,0.45524437663570927
caffeine_mg,-0.0021155115682813565,0.002964507979087666,-0.7136130458088394,0.47601039761926756,caffeine_mg,vanR_gene_in_vanB_cluster,0.47601039761926756
vitd_iu,3.9128254926221276e-4,0.022019489612591533,0.01776982828150855,0.9858418334574108,vitd_iu,vanR_gene_in_vanB_cluster,0.9858418334574108
protein_g,-0.0017666229424981234,0.0036360774311977795,-0.4858595494530409,0.627304293856408,protein_g,hp1181,0.627304293856408
total_fat_g,-4.484331769479078e-4,0.007677735039957144,-0.05840696176855966,0.9534505120780403,total_fat_g,hp1181,0.9534505120780403
sfa_g,-0.006455191765680979,0.028405153026602927,-0.22725425065076574,0.8203297125464345,sfa_g,hp1181,0.8203297125464345
mufa_g,-0.0028534127751062453,0.01705265981052314,-0.16732948447991755,0.8671863087802805,mufa_g,hp1181,0.8671863087802805
pufa_g,-4.320656830870949e-4,0.06745851993952195,-0.006404909023714888,0.9948925079507928,pufa_g,hp1181,0.9948925079507928
omega3fa_g,-4.6855838875415825e-4,0.00390882470782907,-0.11987193690616837,0.9046388161404728,omega3fa_g,hp1181,0.9046388161404728
omega6fa_g,0.018026976380476217,0.06252596367776432,0.2883118519113209,0.7732431859698243,omega6fa_g,hp1181,0.7732431859698243
cholesterol_mg,-2.361835233758504e-4,7.255233501760411e-4,-0.32553538534430737,0.7449278912301684,cholesterol_mg,hp1181,0.7449278912301684
alcohol_g,-0.018109632011218717,0.07800078043926717,-0.2321724463426261,0.8165105716415992,alcohol_g,hp1181,0.8165105716415992
fiber_g,0.006095121927665265,0.02230651803151213,0.27324398720834714,0.7847918674428358,fiber_g,hp1181,0.7847918674428358
b1_mg,-0.019729413934209985,0.1686270233506271,-0.11700030957189173,0.9069122404288652,b1_mg,hp1181,0.9069122404288652
b2_mg,-0.038625405511212865,0.13634648028549712,-0.2832886146406917,0.7770864623001,b2_mg,hp1181,0.7770864623001
b3_mg,-0.014634067405972648,0.02893607697363147,-0.5057377826064056,0.6132894814947776,b3_mg,hp1181,0.6132894814947776
b6_mg,-0.002510619534354633,0.025312641598776966,-0.09918441441828572,0.921036214121683,b6_mg,hp1181,0.921036214121683
b12_mcg,0.0014921741174729053,0.016748927394336758,0.08909072696663833,0.929049619659909,b12_mcg,hp1181,0.929049619659909
vitaminc_mg,0.004236341982697219,0.00856669439602481,0.4945130276461131,0.6211863113071368,vitaminc_mg,hp1181,0.6211863113071368
vitaminetocoa_mg,0.02615694635645025,0.07865284992337492,0.3325619654206153,0.7396212097269136,vitaminetocoa_mg,hp1181,0.7396212097269136
bcarotene_mcg,5.219435474060939e-6,2.774971365229931e-4,0.018808970569786268,0.9850018901327526,bcarotene_mcg,hp1181,0.9850018901327526
folicacid_mcg_dfe,-0.0026400403063547143,0.004856762870437931,-0.5435802358035784,0.5871274468156364,folicacid_mcg_dfe,hp1181,0.5871274468156364
folate_mcg,-7.644284592539412e-4,0.0029031791289237502,-0.2633073693724595,0.7924347382978739,folate_mcg,hp1181,0.7924347382978739
iron_mg,0.04902034531722153,0.012589667514565415,3.8936965778093997,1.149784244908579e-4,iron_mg,hp1181,1.149784244908579e-4
zinc_mg,-0.01218665907934968,0.030837795222105866,-0.3951858098666456,0.6929083223604642,zinc_mg,hp1181,0.6929083223604642
selenium_mcg,-0.0025617285430216455,0.00429488728423018,-0.5964600171063191,0.5511931682777759,selenium_mcg,hp1181,0.5511931682777759
magnesium_mg,6.076710402411918e-4,0.001507600736190292,0.40307159956473415,0.687088700388038,magnesium_mg,hp1181,0.687088700388038
