feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway103	Group	CD	-0.149337887698822	0.064977208474344	410	410	0.0220489902297651	0.0302490279185207
Pathway96	Group	CD	0.208562471250254	0.0929523652132971	410	409	0.0253837590800624	0.0345385574368063
Pathway60	Group	CD	-0.0646047287486625	0.0288665997944461	410	410	0.0257570472949499	0.0347615435037535
Pathway77	Group	CD	-0.0821673072816114	0.0368011861168826	410	410	0.0261082497984987	0.0349513666657321
Pathway24	Group	CD	0.121918590620243	0.0552060585704734	410	409	0.0277698163514802	0.0368783161147657
Pathway78	Group	CD	-0.0864470660618782	0.0399860381020807	410	410	0.0312042350138126	0.0411103413674039
Pathway32	Group	CD	-0.0575268194031145	0.0271582737691076	410	410	0.0347616404714448	0.0450815024864049
Pathway52	Group	CD	0.258976578155531	0.122111210859087	410	410	0.0345391297536714	0.0450815024864049
Pathway76	Group	CD	-0.0515679259468946	0.0251172139074173	410	410	0.0407008775767695	0.051971889828798
Pathway86	Group	CD	-0.0515679259468946	0.0251172139074173	410	410	0.0407008775767695	0.051971889828798
Pathway158	Group	CD	-0.132095483665297	0.0649884832216839	410	409	0.0427402072082206	0.0541593465386612
Pathway161	Group	CD	0.380140386520687	0.189349981693335	410	408	0.0453439493216611	0.0570234514196647
Pathway3	Group	CD	-0.162559592944878	0.0821335882158602	410	409	0.0484642355834715	0.0604891962921524
Pathway166	Group	CD	-0.0472023088985544	0.0272995018066976	410	410	0.0845558815821033	0.104748330915143
Pathway65	Group	CD	0.152416557889423	0.0893175201256384	410	410	0.0886838566741023	0.108253914703682
Pathway165	Group	CD	0.0881844860964127	0.0516779203480358	410	410	0.0886899542150645	0.108253914703682
Pathway160	Group	CD	-0.0680456703697832	0.0401551928788992	410	410	0.0909206376524254	0.110166612046005
Pathway137	Group	CD	-0.152755638250044	0.0940547855030914	410	409	0.10512387591352	0.12645335798293
Pathway63	Group	CD	0.282068065875888	0.1765427150878	410	408	0.110876626165759	0.131467999596542
Pathway143	Group	CD	0.249475519934407	0.155971453649878	410	408	0.110484762420597	0.131467999596542
Pathway144	Group	CD	-0.0547164112381851	0.0365258230859964	410	410	0.134901322732086	0.158819996975364
Pathway155	Group	CD	-0.0436001753136903	0.0308489204081008	410	410	0.158316699555916	0.183780224659315
Pathway156	Group	CD	-0.110970294272703	0.0784918168604823	410	409	0.158188553508519	0.183780224659315
Pathway67	Group	CD	0.0934545449634749	0.0719257580727653	410	410	0.194567997049744	0.224293663265677
Pathway16	Group	CD	-0.124114567216808	0.0958753548428606	410	408	0.196210823744641	0.224627563735244
