feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway145	Region	HK	-0.156781715165511	0.152296162537152	410	410	0.303876820309617	0.413471739109807
Pathway159	Region	HK	-0.155690276261805	0.159902157684114	410	409	0.33080246435582	0.446448854333871
Pathway119	Region	HK	0.0591503483686573	0.0669297780294763	410	410	0.37734230953561	0.504466502949162
Pathway126	Region	HK	0.1128601023545	0.128382723681845	410	409	0.379869354630393	0.504466502949162
Pathway10	Region	HK	0.0605491105938151	0.0701863140032771	410	410	0.388814106352033	0.512247155987599
Pathway1	Region	HK	-0.0432155990920805	0.0517796736992846	410	410	0.404428286974227	0.524492934669701
Pathway140	Region	HK	0.0958891757440698	0.11440692662661	410	410	0.40244205533734	0.524492934669701
Pathway128	Region	HK	-0.0577485285759131	0.0712088767890685	410	410	0.417853566408557	0.537703038944345
Pathway104	Region	HK	0.144844636444815	0.184950227094533	410	408	0.433990629599347	0.554172650103782
Pathway62	Region	HK	0.0548287836213878	0.0710667164417087	410	410	0.440850449905086	0.558634921253774
Pathway44	Region	HK	0.122130470037454	0.161792399716142	410	410	0.450769008896278	0.566876177854411
Pathway6	Region	HK	-0.120358018776391	0.175830841155536	410	408	0.494041637069921	0.616623396643661
Pathway96	Region	HK	0.0780692896879407	0.115241277335424	410	409	0.498509461466515	0.617556497040608
Pathway43	Region	HK	0.0846049949697454	0.126100136943068	410	409	0.502641577827206	0.61806297718012
Pathway130	Region	HK	-0.0932360529182446	0.141939656260518	410	410	0.511634163297831	0.624494640495882
Pathway141	Region	HK	0.0418445558356584	0.0646197358567355	410	410	0.517639776725922	0.62721316012046
Pathway95	Region	HK	-0.0794494961662022	0.131464265198528	410	409	0.545951591509949	0.656724378193127
Pathway132	Region	HK	0.0650268332922004	0.110183624047111	410	409	0.555404834443269	0.663289226745199
Pathway147	Region	HK	-0.103001140468272	0.186033515303798	410	410	0.580108131420121	0.687842498683858
Pathway63	Region	HK	0.116085838485013	0.218264136879183	410	408	0.59511283216931	0.700629291773798
Pathway36	Region	HK	-0.145596128438273	0.281538668075593	410	403	0.605335635543248	0.707645883804079
Pathway64	Region	HK	-0.134171011598202	0.274794767934012	410	403	0.625628717278021	0.726254315161899
Pathway84	Region	HK	0.0513532276289099	0.110410328127395	410	410	0.642099008001417	0.730057776220789
Pathway99	Region	HK	0.0476144205783033	0.101638481009645	410	410	0.639699815526658	0.730057776220789
Pathway144	Region	HK	0.0210847847089002	0.0451443802767014	410	410	0.640711808724132	0.730057776220789
Pathway101	Region	HK	-0.0383011966951828	0.0873853219373906	410	409	0.661399056253084	0.738893768739597
Pathway111	Region	HK	-0.0453679634333793	0.104106538900946	410	410	0.663223924953012	0.738893768739597
Pathway157	Region	HK	-0.0365118298373371	0.0823813125232985	410	410	0.657852194776202	0.738893768739597
Pathway34	Region	HK	-0.113670368244395	0.275696319430791	410	403	0.680334033750292	0.752902997350323
Pathway68	Region	HK	0.0137382948465417	0.0391880279632012	410	410	0.726089063018578	0.795734707509953
Pathway80	Region	HK	0.0269226933824399	0.0804983612135196	410	410	0.738211716605619	0.795734707509953
Pathway105	Region	HK	0.0168167058624002	0.0485210950423675	410	410	0.729081449003302	0.795734707509953
Pathway146	Region	HK	0.0131557001234873	0.0391042206302096	410	410	0.736722153989631	0.795734707509953
Pathway115	Region	HK	-0.031025320363571	0.103876168938717	410	410	0.765339318782989	0.814399531525488
Pathway117	Region	HK	-0.031025320363571	0.103876168938717	410	410	0.765339318782989	0.814399531525488
Pathway17	Region	HK	0.0204275538787911	0.125876453641053	410	408	0.871163682135415	0.921103001493496
Pathway118	Region	HK	0.0115009550093785	0.0850514587778406	410	410	0.892501862206649	0.932186434981904
Pathway124	Region	HK	0.0187129531189397	0.138873437789237	410	410	0.892877368446523	0.932186434981904
Pathway154	Region	HK	-0.0136792581714232	0.107373902524948	410	410	0.898687885808715	0.932388681526542
Pathway72	Region	HK	0.0268246402089013	0.249937219059532	410	394	0.914583499815338	0.942986714095317
Pathway161	Region	HK	0.0190460656046994	0.234598393502213	410	408	0.935333976891352	0.958428642987435
Pathway114	Region	HK	-0.00393435190336533	0.0846904748778954	410	410	0.962969803760843	0.980693174382208
Pathway79	Region	HK	-0.00239607602959503	0.0900825376974149	410	410	0.978792835777135	0.990172091404194
Pathway89	Region	HK	-0.00241601815897662	0.121979408746285	410	409	0.984207199287301	0.990172091404194
Pathway148	Region	HK	0.00162618266600218	0.15929743092427	410	409	0.991859952408428	0.991859952408428
