feature	k149_101865_34	k149_103437_27	k149_106777_66	k149_107332_92	k149_110324_8	k149_110541_22	k149_112649_18	k149_115884_6	k149_116128_96	k149_117874_31	k149_118281_20	k149_122792_191	k149_130261_154	k149_130261_183	k149_130672_15	k149_131241_136	k149_134666_10	k149_137462_21	k149_145357_32	k149_148463_138	k149_148463_24	k149_154020_42	k149_1590_94	k149_163091_142	k149_163091_90	k149_163091_92	k149_16561_10	k149_168025_95	k149_168967_172	k149_17078_68	k149_191853_13	k149_198842_65	k149_211711_7	k149_212974_29	k149_218693_8	k149_25741_10	k149_277096_39	k149_28321_45	k149_29044_31	k149_305790_18	k149_34831_79	k149_43075_294	k149_43898_21	k149_43954_24	k149_44733_4	k149_45431_17	k149_45854_12	k149_49060_101	k149_49060_107	k149_49100_7	k149_49232_21	k149_49857_4	k149_54842_45	k149_59941_16	k149_63122_44	k149_6815_10	k149_69830_8	k149_7326_19	k149_74925_127	k149_78077_21	k149_78367_20	k149_78367_238	k149_78367_35	k149_85850_31	k149_85897_43	k149_91219_23	k149_99651_133	k149_99651_276
KM4020	0	0	0	0	0	20.893	4.343	0	1.881	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	17.769	2	18	0	0	0	0	0	0	0	0	1	11.756	30.207	0	0	0	0	24.322	14.8	0	0	1.548	0	0	0	0	1	0	0	0	0	0	0	0
KM4021	0	30.228	0	0.007	1.414	3.164	4	0	0	1	1.819	1.283	1	6	0	0	0	1.132	1.423	1	2.072	1	0.4	2	0	0	0	2	3	3	0	0	1	8.246	1.16	30	0	0	0	1.013	0	0	1	0	0	8	6.917	4.976	1.154	0	6.887	0	10.945	0	0	0	0	4	2.681	0	3.569	3	0	0	3.285	0	1.952	2
KM4022	9.184	0	0	7.12	14.807	0	0	0	65.694	0	5.329	13.42	9.973	14.076	2	16.462	0	2.978	14.978	24.462	5.051	18.341	12.948	18.553	11	34	10.469	15.599	0	0	0	0	0	0	0	0	0	0	29.916	25.688	6.657	12.391	6.723	2	0	0	0	65.637	0	17.174	58.17	0	0	1.156	9.895	0	0	8.237	107.773	0	10.702	0	7.265	0	3.703	4.323	30.64	26.705
KM4023	0	8.184	0	0	0	70.505	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.674	0	0	0	20.371	0	2	0	0	0	0	0	0	0	0	0	17.74	70.078	1	0	0	0	0	197.904	0	0	2.431	0	0	0	0	0	0	0	0	0	0	0	0
KM4024	0	0	0	0	0	11.448	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.048	3.221	0	7.221	1	10.135	0	4	13	5	0	0	0	0	0	0	1	5.858	26.086	0	0	0	0	0	3.612	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
KM4026	19.497	25.1	0	19.728	26.026	24.736	14	0	26.678	0	5.489	26.613	7.752	54.104	19.156	31.645	13	5.873	41.912	22.617	41.096	30.229	1.921	40.408	5	17.283	9.854	48.483	0	7.706	21	0	0	11.88	0	0	0	0	28.919	44.477	34.133	43.742	32.599	5	0	7.605	10.031	65.566	23.147	10.786	80.655	1.034	7.417	4.53	4.985	1.642	0	25.865	23.932	11	89.045	13.29	27.05	0	14.224	14.722	29.842	37.301
KM4031	0	0	0	3.131	2.741	3.154	1	0	3.925	0	1.576	3.556	0	1.528	1	4	0	0	1.1	1.818	1.125	1.259	2.362	0	0	0	0	0	0	0	0	2.115	1	0	0	0	0	0	1.384	7.464	2.339	3.189	0	0	0	3	4.35	4	0	1.34	22.67	0	0	0	1	0	1	1.035	5.963	0	0	0	1.012	0	2.332	1.118	0	0
KM4032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM4033	0	0	3.296	0	0	0	2	0	0	0	0	0	1.498	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	92.022	0	0	0	43.512	0	0	0	2	0	0	0	0	0	0	4	0	0	0	2.745	4.036	0	0	0	25.873	0	0	2.778	0	2	0	0	0	1	0	0	0
KM4034	0	0	0	0	0	6.726	6.65	0	2.834	3.258	0	1.051	1.04	0	0	0	0	2.366	2.627	0	0	0	0	0	2	2.026	1.46	0	0	8.61	0	0	0	4.398	1	2	0	0	0	0	3.852	2.261	0	0	0	7.497	15.41	0	0	1.561	0	3.687	0	0	0	0	0	0	4.147	0	1.872	0	0	0	0	0.187	0	1
