term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(age_10_18_years_8)2,-0.014510374897868081,0.013475920103826033,-1.0767632032597425,0.28213961938216,age_10_18_years_8,Mogibacterium_sp_NSJ_24,0.28213961938216
factor(age_1_5_yers_9)2,-0.003212280964208431,0.014112728140484969,-0.22761587499113012,0.8200434389782796,age_1_5_yers_9,Mogibacterium_sp_NSJ_24,0.8200434389782796
factor(age_5_10_years_9)2,-0.003216328952874721,0.013679226867353218,-0.23512505378142368,0.8142136457234617,age_5_10_years_9,Mogibacterium_sp_NSJ_24,0.8142136457234617
factor(age_10_18_years_9)2,0.0015158597056534647,0.014176885863228577,0.10692473088079514,0.91489412448153,age_10_18_years_9,Mogibacterium_sp_NSJ_24,0.91489412448153
factor(age_1_5_years_10)2,-4.043369896010976e-4,0.018221875895616704,-0.022189646769483345,0.9823060535861989,age_1_5_years_10,Mogibacterium_sp_NSJ_24,0.9823060535861989
factor(age_5_10_years_10)2,0.004876667256658789,0.014349052360513731,0.33985988301768194,0.7341132314554726,age_5_10_years_10,Mogibacterium_sp_NSJ_24,0.7341132314554726
factor(age_10_18_years_10)2,0.006729004069786365,0.014718025147626249,0.4571947664372371,0.6477414125490861,age_10_18_years_10,Mogibacterium_sp_NSJ_24,0.6477414125490861
factor(age_1_5_years_11)2,0.003921154261415478,0.015812592976762123,0.24797667701799,0.8042605243087877,age_1_5_years_11,Mogibacterium_sp_NSJ_24,0.8042605243087877
factor(age_5_10_years_11)2,0.012711736632880668,0.013921990995862934,0.913068873314032,0.36167246224640803,age_5_10_years_11,Mogibacterium_sp_NSJ_24,0.36167246224640803
factor(age_10_18_years_11)2,0.014197588552182212,0.014854653522032956,0.955767061892345,0.3396791835761991,age_10_18_years_11,Mogibacterium_sp_NSJ_24,0.3396791835761991
factor(age_1_5_years_12)2,-0.015025668290730453,0.012832697437174771,-1.1708893133569027,0.2422340569700064,age_1_5_years_12,Mogibacterium_sp_NSJ_24,0.2422340569700064
factor(age_5_10_years_12)2,-0.004139307330497016,0.014042139544179983,-0.2947775385277827,0.7682934328090618,age_5_10_years_12,Mogibacterium_sp_NSJ_24,0.7682934328090618
factor(age_10_18_years_12)2,-0.010700572564162118,0.015256579081232085,-0.7013743059428998,0.483415105241494,age_10_18_years_12,Mogibacterium_sp_NSJ_24,0.483415105241494
factor(breast_fed)2,0.24297597485581435,0.11150261789176172,2.179105562271883,0.029818678549554996,breast_fed,Ruthenibacterium_lactatiformans,0.029818678549554996
factor(baby_food)2,0.15766792082202039,0.1307578390396129,1.205800906317021,0.22850222988176136,baby_food,Ruthenibacterium_lactatiformans,0.22850222988176136
factor(family_food)2,0.32607837720543115,0.21283697346642316,1.5320570100893338,0.12618116334244384,family_food,Ruthenibacterium_lactatiformans,0.12618116334244384
factor(age_4_12_months_3)2,-0.10200471894945776,0.10482945472455496,-0.9730539877125246,0.3310248679257891,age_4_12_months_3,Ruthenibacterium_lactatiformans,0.3310248679257891
