term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(crp)40.2,-0.09446325303974379,0.9065048679864177,-0.10420600746421932,0.9170626352951983,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)5,0.07487876203763555,0.38189368050747724,0.19607227314715794,0.8446618237944583,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)5.1,-0.18471074203399668,0.6523035693325545,-0.28316684243042717,0.777208166532124,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)5.29,-0.00458993158843198,0.9070635119875614,-0.005060209707228221,0.9959652959725731,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)5.8,-0.28359780030813525,0.9145682129515927,-0.3100892817965737,0.7566685929027018,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)5.9,1.8871284106033555,0.9122680791283256,2.068611687483915,0.03928049944617783,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)50.3,-0.20251828533130115,0.9104940345450189,-0.22242681187087748,0.8241050357855052,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)54,0.11843910698720617,0.9071540681922615,0.13056118154573967,0.8961937928578557,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)56,-0.03885855811965436,0.9103943111749803,-0.042683217197944066,0.96597720731672565,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6,0.16854230828197198,0.34677283066073006,0.4860308922150468,0.6272345426622297,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6.1,0.01138754778069008,0.9075829977311065,0.012547114488876661,0.9899959130056372,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6.25,-0.16394670983104176,0.908823643717608,-0.18039441531297098,0.8569422374184208,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6.3,0.22428990780763847,0.9118798648011659,0.2459643166444349,0.8058469821031299,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6.4,-0.08938310863836578,0.5310793297874936,-0.16830462724680245,0.8664360944997345,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6.5,-0.1822310151943495,0.9098305740401506,-0.20029115353328159,0.8413635209104465,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)6.8,-0.2251994939318478,0.9113079609616568,-0.2471167855202387,0.8049556475592479,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)7,-0.07628060400619874,0.3742759404664141,-0.20380846257747584,0.8386158362066929,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)7.1,-0.292159375977829,0.9151864449980104,-0.3192348155664217,0.7497295916675992,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)7.2,0.6406282508367905,0.910018025454527,0.7039731443965802,0.48189470225020303,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)7.6,0.07888245990570693,0.9068128247435702,0.08698869022724003,0.9307278145433685,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)7.7,-0.24050149124731707,0.6525231300132621,-0.3685715956803386,0.7126590090596278,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)7.8,-0.13548062594791074,0.9095843262074085,-0.14894784578446849,0.8816763751805567,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)74.40000000000001,-0.24185818366166845,0.9120673101668734,-0.26517580551967995,0.7910225074145862,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)8,-0.009373063201452952,0.6410685117483328,-0.014621000766190462,0.9883424681836233,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)8.25,0.0355395514782003,0.9086082192040115,0.03911427469733304,0.9688204906230562,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)8.33,-0.18534290797845232,0.9100183327109432,-0.20366942216022843,0.8387244158516377,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)8.390000000000001,-0.025915561266377396,0.909665192735335,-0.02848912047348993,0.9772874883833857,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)8.5,-0.08680453713254913,0.9112696643175442,-0.09525669571976547,0.9241627859244732,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)8.6,-0.024993130631557395,0.6431924270852045,-0.03885793672170603,0.969024724147524,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)83,-0.08515853879474125,0.9063762710650926,-0.09395495172735549,0.9251960748960738,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)9,-0.015895313538277896,0.5313746336288673,-0.029913572331681532,0.9761521976430003,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)9.19999999999999,-0.03720918843254537,0.6411660119406287,-0.058033625831044364,0.9537533427994769,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)9.210000000000001,0.0583687388164755,0.9069421778339958,0.06435772890822501,0.9487203322683438,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)9.4,-0.15859569911986765,0.9096411105330235,-0.17434974880030996,0.8616864792569052,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp)95,-0.007078512764657416,0.9077856043179687,-0.007797560052712662,0.9937827355547164,crp,Clostridium_SGB4750,0.9971763788376072
factor(crp_yn)1,-0.07717130922777661,0.18276570130536676,-0.42224174818686583,0.6732430068443465,crp_yn,Clostridium_SGB4750,0.6732430068443465
cd_hct_r,-0.00438758137369953,0.0186624314946527,-0.23510234317305828,0.8143450445640104,cd_hct_r,Clostridium_SGB4750,0.8143450445640104
esr,-1.0666198618617524e-4,5.966948515996978e-4,-0.17875466144918428,0.8583887694118659,esr,Clostridium_SGB4750,0.8583887694118659
factor(bowel_resection)1,-0.12549021293061283,0.14664040506737167,-0.8557683189224572,0.39267680216616063,bowel_resection,Clostridium_SGB4750,0.39267680216616063
factor(malignancy)1,-0.11936218982438922,0.27780708368005763,-0.42965855385406654,0.6676927947963872,malignancy,Clostridium_SGB4750,0.6676927947963872
hb,9.273206477981334e-5,1.8967158811365514e-4,0.48890856929107573,0.6253763847396709,hb,GGB9759_SGB15370,0.6253763847396709
wbc,1.5450279142812266e-4,0.0014221886855664407,0.1086373369413961,0.9135861127850082,wbc,GGB9759_SGB15370,0.9135861127850082
factor(crp).52,-0.01482236895355283,0.05180320118385847,-0.2861284363671985,0.7749407551416772,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp).6,-0.004806003311979498,0.05207570732344973,-0.09228877645633728,0.926518824173533,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp).7,0.04883856390825665,0.05212539972770526,0.9369436812644409,0.34940200063166826,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp).72,-0.012932836296476628,0.051704999963625285,-0.25012738237259335,0.8026284158783525,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp).8,-0.006287331599773406,0.024308638589955692,-0.2586459779105575,0.7960530081556932,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp).9,-0.007432736230954035,0.037028842065534556,-0.20072829222689156,0.8410219264602017,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)<0.6,-0.005897259113819905,0.013020923593058929,-0.45290636041851595,0.6508830744748687,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)<1,-0.020059867106548075,0.05176025395028832,-0.3875534908660612,0.6985705475570204,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)<5,-0.012418745557678659,0.012537834739756967,-0.99050161494786,0.32257981479099296,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)0,0.012365410682526142,0.010293505101604527,1.2012828050766353,0.23041408590644866,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1,-0.013089909199445427,0.02350071624257368,-0.5570004362561456,0.577865724774751,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.1,0.011551542689043126,0.03043388344347644,0.3795619021311334,0.7044895812527829,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.2,-0.007347655142508083,0.05188132224433873,-0.1416242845142571,0.8874542817568409,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.3,-0.011443760000959171,0.05194620478592463,-0.22030021342502348,0.8257595161904434,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.4,-0.00665447737054576,0.05188329827590445,-0.12825856473423586,0.8980144168267246,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.5,-0.0062742348348538875,0.05190066829330358,-0.1208892879643982,0.903844704741265,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.6,-0.005504134434981496,0.05197113600247546,-0.10590752595285441,0.9157134284647617,crp,GGB9759_SGB15370,0.9449307135717967
factor(crp)1.7,-0.008251774855161861,0.036888009970536456,-0.22369802170821354,0.8231164165568514,crp,GGB9759_SGB15370,0.9449307135717967
