feature	k149_101865_34	k149_103437_27	k149_106777_66	k149_107332_92	k149_110324_8	k149_110541_22	k149_112649_18	k149_115884_6	k149_116128_96	k149_117874_31	k149_118281_20	k149_122792_191	k149_130261_154	k149_130261_183	k149_130672_15	k149_131241_136	k149_134666_10	k149_137462_21	k149_145357_32	k149_148463_138	k149_148463_24	k149_154020_42	k149_1590_94	k149_163091_142	k149_163091_90	k149_163091_92	k149_16561_10	k149_168025_95	k149_168967_172	k149_17078_68	k149_191853_13	k149_198842_65	k149_211711_7	k149_212974_29	k149_218693_8	k149_25741_10	k149_277096_39	k149_28321_45	k149_29044_31	k149_305790_18	k149_34831_79	k149_43075_294	k149_43898_21	k149_43954_24	k149_44733_4	k149_45431_17	k149_45854_12	k149_49060_101	k149_49060_107	k149_49100_7	k149_49232_21	k149_49857_4	k149_54842_45	k149_59941_16	k149_63122_44	k149_6815_10	k149_69830_8	k149_7326_19	k149_74925_127	k149_78077_21	k149_78367_20	k149_78367_238	k149_78367_35	k149_85850_31	k149_85897_43	k149_91219_23	k149_99651_133	k149_99651_276
KM2055	2.58279683350304	-1	-1	-8.15842936260448	2.05172011644733	4.18887562547096	3.27262045466299	-5.96578428466209	1.75060650483559	-1	-5.41119543298445	2.78952060360031	2.46492960112985	-1.0130430374756	-1	-1	-1	-1.94064472238358	2	2.28924428515664	-1.04097178105631	2	-5.05889368905357	0.550900664647523	-2	1	1.35049724708413	-1	-1	2.58496250072116	-1	-2	-1	2.89336221076387	-1	4.4594316186373	-1	-1	1.69242719808971	1.80982599609745	2.71435543310108	0	1	-9.38082178394093	-1	3.16992500144231	4.77336342532437	3.0597013721463	-1	1.77736710945041	5.11378383173029	-1	4.07253459972295	-1	3.4594316186373	-1	-1	1.6667565918848	1.97379492965261	-1	-1	-4.10780328953452	-1.98279070996778	-1	2.25429168632222	0.58207422139633	0	-10.9657842846621
KM2056	5.65729700999104	-1	-1	2.76404885418628	6.65129570850834	-1	-1	-5.96578428466209	6.92981466378172	-1	-5.41119543298445	7.49448761534064	1.87931367631089	4.40810042001969	3.58820491820984	4.35085080548338	-1	5.77220238744118	6.59120067293238	6.04869393150907	-1.04097178105631	5.29469426014185	-6.05889368905357	5.55074678538324	-2	-1	5.29825506700201	-1	-1	0	-1	-2	-1	-2.16488438474178	3.70043971814109	-1	-1	-1	6.38560359805024	8.01461193773738	5.1991226420136	7.57221514175349	3.60963678113278	1	-1	-2	-1	7.50464422527455	5.96954193547914	6.01317190496289	5.96935773910922	-1	-4.83650126771712	3.18491500408245	-1	-1	-1	4.15583017155653	8.3758822057348	-1	7.86716134218903	-4.10780328953452	3.84799690655495	-1	6.86755057098032	2.2862897581341	6.2780405205145	5.14036967065153
KM2060	2.86552295913996	-1	-1	1.69331967881157	4.30553283223929	4.11594879064188	2.20288783347014	-5.96578428466209	1.36793014143188	4.94246758766445	-5.41119543298445	4.08091343766393	1.27738969881086	2.58496250072116	1	-1	-1	2.35839626195665	3.36681177312713	2.32192809488736	1.20539251298968	3.28273632027634	2.40979822782842	3.26153081524341	3.16992500144231	4.16992500144231	3.56754544764375	3.16992500144231	-1	2.83854844152553	-1	5.04732025800184	-1	3.97645529070188	2	3.4594316186373	-1	-1	1.62807365419614	2.60217179075338	2	4.03395152579817	0.42867840994823	2.8073549220576	3.70043971814109	2.8073549220576	2.8923910259134	3	1.58496250072116	3.81598522720104	4.4580538429643	-1	4.54411440220947	-1	2.32192809488736	0.153156788061421	1.71061360238268	1.35049724708413	2.87931367631089	-1	3.63354745829421	2.27232185276999	2.32192809488736	-1	3.15088457130503	0	3.06402056296861	3.61506311393068
KM3008	1.45364926604329	7.37690677314122	2.87026607039598	2.270229907238	1.53555533339931	1.71852602646226	1.23388806017428	-5.96578428466209	2.92903347864586	0	1.3790663992809	3.35346444815542	1.39231742277876	3.06591691807822	-1	0.185232254230161	-1	4.16992500144231	3.07073278582443	2.114367024952	2.1263121303287	2.1417597473139	0.484395962502666	2.13750352374994	2.32192809488736	3.58496250072116	1.86671019967403	2.32192809488736	-1	1.58496250072116	-1	-2	3.03667915423045	1.59693514238723	1.14925936549962	0	-1	-1	1.72726701073491	1.79368783654075	1.58496250072116	3.95763605918992	0.104336659814736	-9.38082178394093	1	-2	2.81639490916912	3.79597469420667	1.5854433189362	0.411426245726465	-2.58640591759082	1.36176835941915	-2.0350469470992	0	-1	3.67491255290801	2.33714017995587	2.47845415341602	4.54405256226258	-1	2.94373382963453	-4.10780328953452	2.61093624041816	-1	2.38156025476946	-3.41888982477445	2.62643913669732	3.77778790427355
KM3009	0.0200576523412535	-1	-1	-8.15842936260448	2.22804904788446	3.76181714250714	3.32192809488736	-5.96578428466209	0.0607391578576785	-1	-5.41119543298445	1.81762325751143	0.719840555064268	1.09153059312062	-1	-1	0	0.679874147746623	-1	0	1.22589186169034	1.55434326566276	-6.05889368905357	2.86631456137705	-2	-1	-1	-1	0.0114956388378294	2.8073549220576	1	4.97296830188095	1	1.16349873228288	1	3	-1	-1	-1	2.64454851724905	-1	2.49620666592348	-1	-9.38082178394093	-1	3.61894338330183	4.3142614766383	3.5687617827979	-1	-1	-2.58640591759082	1.12167855658825	4.18903382439002	-1	-1	-1	-1	-1	4.28288455506105	1	1.1583370271671	-4.10780328953452	-1.98279070996778	-1	-1	0.981121989794311	-1	-10.9657842846621
KM3010	-1	5.4483393533982	-1	-8.15842936260448	-1	3.58496250072116	2.85199883711245	-5.96578428466209	-1	-1	-5.41119543298445	0.01292617444427	-1	-1.0130430374756	-1	-1	-1	-1.94064472238358	0	-1.88097589685773	-0.00144341686966872	0	-1.53951952995999	-1	-2	1.58496250072116	-1	-1	0	2.91399039267484	-1	-2	-1	3.53692322950229	-1	3.16992500144231	-1	-1	0	0	-1	-1	-1	-9.38082178394093	0	2.8073549220576	4.09415160045022	0.153156788061421	-1	-1	-2.58640591759082	-1	5.3679650764758	0	0	1.5449798832558	-1	-1	-1	-1	-1	-4.10780328953452	-1.98279070996778	-1	0	-3.41888982477445	-1	-10.9657842846621
KM3011	2.51450103627429	7.23249767699041	-1	2.8073549220576	1.97158953553006	3.00378211262842	3.32192809488736	-5.96578428466209	-1	-1	-5.41119543298445	1.77862912589557	1.90072192756411	2.68526740651684	-1	0	-1	2.8073549220576	1.47508488294878	0	0	2	1.62667275260599	-1	2.8073549220576	3.32192809488736	2.70553562852121	-1	0	3.58496250072116	-1	-2	-1	3.31251996747495	2.32192809488736	1.58496250072116	-1	-1	0.0356239097307212	0.72159139877538	-1	1	1.18459768415576	-9.38082178394093	-1	3.39437694495705	4.29094040240368	2.23756371831768	0	1.26122990898705	3.77841886647074	1.93054811924785	3.12680770314203	-1	1.85159914323515	-1	2	0	-1	-1	1.1479578813871	-4.10780328953452	-1.98279070996778	-1	2.32192809488736	-3.41888982477445	2.70465067524035	2.39094277280254
KM3012	-1	-1	-1	-8.15842936260448	1.02219023963407	-1	-1	-5.96578428466209	-1	-1	-5.41119543298445	-1	-1	-1.0130430374756	-1	-1	-1	-1.94064472238358	-1	-1.88097589685773	-1.04097178105631	-1	-6.05889368905357	0	-2	-1	-1	-1	-1	-1	-1	-2	-1	-2.16488438474178	-1	-1	-1	-1	-1	0	-1	-1	0	-9.38082178394093	-1	-2	-1	-1	-1	-1	-2.58640591759082	-1	-4.83650126771712	-1	-1	-1	-1	-1	-1	-1	-1	-4.10780328953452	-1.98279070996778	-1	0	-3.41888982477445	-1	-10.9657842846621
KM3013	0.93432777831537	-1	-1	1.05102400302447	0.650764559116902	2.45443913468656	2.58496250072116	-5.96578428466209	2.2147465226824	-1	-5.41119543298445	0.205392512989685	2.20037879798403	1.4625758880422	-1	0	-1	2.47690008320375	2.47456583453847	0	1.3928669162308	0.329984649758421	0.325386414659773	2.16349873228288	-2	-1	-1	2.32192809488736	0.0676387168753633	2.9005287310401	-1	-2	-1	-2.16488438474178	-1	4	-1	-1	2.71962155012405	3.58291723367343	0	0.789937868980195	-1	-9.38082178394093	-1	1	2.38708677001591	3.07313470463022	0.10701824988212	0.408168370708106	2.15315678806142	-1	1.1243281350022	0	-1	-1	-1	0.557777671394926	1.80611779603563	-1	2.73031388629378	-4.10780328953452	2.34084707705041	-1	-1	-3.41888982477445	-1	2.84157063739552
KM3019	-1	-1	-1	-8.15842936260448	0.316145742293356	1.32883646422954	1.58496250072116	-0.309359421384307	-1	-1	-5.41119543298445	-1	-1	-1.0130430374756	-1	-1	0	-1.94064472238358	-1	0	0	-1	-6.05889368905357	-1	-2	1	-1	-1	-1	0	0	-2	1.78114985171021	-2.16488438474178	-1	1.58496250072116	4.9137989649507	5.52356195605701	-1	3	-1	-1	-1	-9.38082178394093	1	0	0.49467161164755	1.14535138557262	0	-1	1.51247974691963	0.623866861852698	1.05797006863733	-1	-1	0.479230561206336	-1	-1	-1	-1	-1	-4.10780328953452	0.0908534304511135	4.58496250072116	-1	-3.41888982477445	0	-10.9657842846621
KM3021	-1	4.72372237068533	3.73682131744816	0.470927257475127	-1	0	-1	2.25247621413522	-1	-1	-5.41119543298445	-1	-1	1.24549566281992	-1	-1	-1	-1.94064472238358	2.17184731357334	0	1.02361021518265	-1	-6.05889368905357	-1	-2	-1	-1	-1	0	0	-1	-2	2.11503324294624	-2.16488438474178	-1	3.16992500144231	3.79722054492389	3.4594316186373	-1	2.6378420603241	-1	0.037030730944967	-1	-9.38082178394093	4.52356195605701	-2	0.166072675946706	1.58496250072116	1.73161772284062	-1	4.36820959809927	0.732052073300289	0	-1	0	6.27515607854601	-1	-1	2.58496250072116	-1	0.867105729502655	-4.10780328953452	-1.98279070996778	2.32192809488736	-1	-3.41888982477445	-1	-10.9657842846621
KM3022	-1	2.63830557680709	2.94185751900344	0	0.51500591643373	1.4276061727819	3.121181218448	0	0.36289064266586	4.52356195605701	-5.41119543298445	-1	1	0.316145742293356	-1	-1	-1	-1.94064472238358	-1	-1.88097589685773	-1.04097178105631	0	-6.05889368905357	0	-2	-1	-1	1	-1	2.8073549220576	-1	1.07450543636363	-1	2.84016106714085	2.20006486151431	3.58496250072116	-1	-1	-1	1	1	-1	-1	0	5.85798099512757	3.16992500144231	3.63529005427958	0	0	-1	2.83794324189103	-1	3.03685495329737	-1	-1	4.28080788077975	-1	-1	-1	-1	-1	-4.10780328953452	0	-1	-1	1	1	-10.9657842846621
KM3023	0	3.86364116120201	2.74416109557041	-8.15842936260448	-1	4.09169983413681	4.32192809488736	1.67716993881825	0.492622328574446	-1	-5.41119543298445	1.18840092460321	0.0881415968690176	0.0229004021100788	-1	-1	-1	-1.94064472238358	0	-1.88097589685773	-1.04097178105631	-1	-6.05889368905357	0.293958979028694	-2	0	0.094911647025467	-1	1	3.60371535170319	-1	3.4425454561053	2.4350951516201	4.21085638647193	0	2.32192809488736	-1	0	-1	1.85957205681725	-1	-1	-1	-8.38082178394093	2	4.52356195605701	4.97204927073706	-1	-1	0.0143552929770701	3.29719141656586	2.00180224263399	3.68077442549246	-1	-1	5.88291200133235	-1	0.26663664251399	0.621993231666123	-1	0.0731347046302154	-4.10780328953452	-1.98279070996778	-1	1.26843439357638	-3.41888982477445	0.11503324294624	-10.9657842846621
KM3024	1.35162832910278	3.04106771708669	3.84408430677884	2.28658548326394	4.00539998774259	2.77989003934005	2.66698377006666	6.14192319772374	3.63529005427958	-1	-5.41119543298445	2.24305970607253	1.47456583453847	2.98932069555447	2.41169740352087	1.13356352574111	-1	2.69220399161585	3.53244164668783	2.38128337250378	1.7945198406243	3.46061152286663	1.18776774704602	3.40122086216022	1.58496250072116	2.87282875953489	1.77989003934005	2.32192809488736	-1	2.53206755228903	-1	-2	2.50563691176277	0.617298482840846	-1	2.32192809488736	3.73692952633933	3.90689059560852	2.91609442293836	5.02587041645545	2.42894634476948	3.74265301430321	1.06832686143451	1	0	2.12664253111817	4.35247605905033	5.0100636833447	-1	1.25701061820602	5.32513452552061	3.36261015369037	3.82568388233686	-1	2.47170772546326	3.67795919015958	-1	-1	5.47557132129255	-1	3.5765221379205	-4.10780328953452	2.82741257439886	2.58496250072116	2.45864447937567	1.88635504352516	2.67626740826589	1.91226662806645
KM3031	0	3.85059942381264	-1	-8.15842936260448	0.195347598322219	-1	1.58496250072116	1.20726817311203	-1	0.812292844873271	-5.41119543298445	-1	-1	-1.0130430374756	-1	-1	0	-1.94064472238358	-1	-1.88097589685773	-1.04097178105631	-1	-6.05889368905357	-1	-2	-1	-1	0	-1	0.172487515510134	-1	-2	-1	1.42867840994823	-1	-1	1.58496250072116	2.58496250072116	-1	2	-1	-1	-1	-9.38082178394093	1	2	-1	0	-1	-1	-2.58640591759082	-1	3.63726245522174	-1	-1	0.404903122145131	-1	-1	0	0	-1	-4.10780328953452	-1.98279070996778	1.58496250072116	-1	-3.41888982477445	-1	-10.9657842846621
KM3032	1.08542465625268	3.34823241923927	-1	-8.15842936260448	1.65306001710456	4.12903567659389	3.59741198755465	-5.96578428466209	1.49518347790833	-1	-5.41119543298445	2.67106687196445	0.0524158941511385	0.0299828662157143	-1	-1	-1	-1.94064472238358	1.82171021503467	0.562669826102702	-1.04097178105631	0.899175630480513	-6.05889368905357	-1	-2	-1	0.0551956542421246	-1	-1	2.10802256251641	0	4.54991555362196	-1	3.27366507485719	0	3.32192809488736	-1	-1	0.190298791626595	2.97746311123947	0.508935661864395	1.44837239461205	0	-9.38082178394093	-1	4.24792751344359	4.86636402209807	0.341416524478722	1.46571331959596	1.58640447489506	3.75958197323355	0.855989697308481	4.55912466851776	-1	-1	1.76511036187958	-1	0.542010355536609	2.89375050172057	0	3.31193899694826	-4.10780328953452	-1.98279070996778	-1	0.598365205323645	-3.41888982477445	0	2.26963165094044
KM3033	-1	-1	-1	-8.15842936260448	-1	4.13454953446445	3	-5.96578428466209	-1	-1	-5.41119543298445	0	0	-1.0130430374756	-1	-1	0	0.0662614422687213	-1	-1.88097589685773	-1.04097178105631	-1	0	-1	-2	-1	-1	-1	-1	3.11119828131907	2	-2	-1	3.93357263826102	-1	2	-1	-1	-1	-1	-1	-1	-1	-9.38082178394093	-1	3.60608684075676	4.76463278006858	-1	-1	-1	-1	0.222804561045261	-4.83650126771712	-1	-1	-1	-1	-1	-1	1.58496250072116	0	-4.10780328953452	-1.98279070996778	-1	-1	-3.41888982477445	0	-10.9657842846621
KM3034	3.77705143276904	-1	-1	2.22465773412074	2.88576957376769	3.46231412717042	2.24853483613868	-5.96578428466209	5.70337760312719	0	-5.41119543298445	3.75563537238322	2.91819538914666	3.47287763635929	2.09254574154357	0.190298791626595	-1	2.18459768415576	4.12548579715938	4.37079200930198	1.12697285625777	3.19959382868402	1.42384705459843	4.50754095722971	2	4.70043971814109	5.19700039552755	0	1	2.91149984886111	-1	-2	-1	2.30480305578542	-1	1.58496250072116	-1	-1	3.89549651892662	4.98235476987103	3.82883464946806	4.904435926979	3.49339115088994	2.8073549220576	0	3.4594316186373	4.11411711386654	5.38204467090478	1.84157063739552	4.99009261517931	5.61247045754762	1.38294386956899	-4.83650126771712	0.568518597792544	2.29219277390189	-1	-1	3.12498976997866	6.80454408277292	-1	4.16148463864166	-4.10780328953452	2.72726701073491	-1	4.16156525639703	2.37740143078579	5.12097394361166	3.50131174924366
KM3035	4.67863534782274	-1	-1	4.05779682396094	5.08048712193704	3.47910118892083	1.46362245685189	7.9964395924163	0.856786546288081	1.28392177230762	-5.41119543298445	4.77473435744986	3.53915881110803	4.51595209077249	0	2.45916928659895	-1	5.65926811980355	3.98686597232911	2.8073549220576	3.89704676223591	4.70043971814109	-0.37894449670026	1.83268751643953	4.19613488076516	6.3019899648791	2.81475548280987	5.648724276573	-1	3.16992500144231	-1	-2	4.01051132213351	1.24000896473507	-1	-1	0	0	5.20613525340459	2.80467314026994	4.39231742277876	3.54114309068279	1.77568270173906	3.28776777797538	3.3210622180738	1.50487458939846	3.40599235967584	4.5359907137689	2.58496250072116	1.02927618237063	-2.58640591759082	-1	4.03527198997269	0.05797006863733	-1	-1	-1	1.2797684215936	0.435095151620097	-1	4.42552644277132	4.57337452644594	4.47690008320375	1.58496250072116	3.23756371831768	2.96421377794694	1.63366369686663	4.84589144067803
KM3036	-1	-1	-1	-8.15842936260448	-1	-1	-1	-5.96578428466209	-1	-1	-5.41119543298445	-1	-1	-1.0130430374756	-1	-1	-1	-1.94064472238358	-1	-1.88097589685773	-1.04097178105631	-1	-6.05889368905357	0	-2	-1	-1	-1	-1	-1	-1	-2	-1	-2.16488438474178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-9.38082178394093	-1	-2	-1	-1	-1	-1	2	-1	-4.83650126771712	-1	-1	3.6876206320849	-1	-1	-1	-1	-1	-4.10780328953452	-1.98279070996778	-1	-1	-3.41888982477445	-1	-10.9657842846621
KM3040	1.58496250072116	-1	-1	1.58496250072116	-1	2.9136075118231	1.51702367206458	-5.96578428466209	0	-1	-5.41119543298445	-1	0.358396261956654	1.58496250072116	-1	-1	-1	2.45391260364389	-1	-1.88097589685773	1.33628338786443	0	0.754459973625479	0	0	2	-1	1.58496250072116	-1	2.8073549220576	-1	-2	0.111031312388744	1.49210955265261	-1	-1	-1	-1	1	1.18586654531133	-1	-1	0	1.58496250072116	1	2	4.19282540355239	-1	-1	-1	-2.58640591759082	-1	2.59287558236442	-1	-1	-1	-1	0	-1	-1	-1	0.280956313831056	0	-1	-1	-3.41888982477445	0.279768421593595	0
KM3042	-1	-1	-1	-8.15842936260448	1	-1	-1	-5.96578428466209	-1	-1	-5.41119543298445	-1	-1	-1.0130430374756	-1	-1	-1	-1.94064472238358	-1	-1.88097589685773	-1.04097178105631	-1	-6.05889368905357	-1	-2	-1	-1	0	-1	-1	-1	-2	-1	-2.16488438474178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-9.38082178394093	-1	-2	-1	-1	-1	-1	0.525066592078211	-1	-4.83650126771712	-1	-1	3.95531280344471	-1	-1	-1	-1	-1	-4.10780328953452	-1.98279070996778	-1	-1	0	-1	-10.9657842846621
