term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
factor(age_10_18_years_10)2,4.399923990965789,4.813859083579019,0.9140117968917617,0.36117730695686057,age_10_18_years_10,mntB,0.36117730695686057
factor(age_1_5_years_11)2,3.348343742578739,5.1718926374854,0.6474116879979782,0.5176809499844721,age_1_5_years_11,mntB,0.5176809499844721
factor(age_5_10_years_11)2,2.4559112286212383,4.559138561159236,0.5386787867216701,0.5903624692356211,age_5_10_years_11,mntB,0.5903624692356211
factor(age_10_18_years_11)2,2.1962935819043037,4.865420075984935,0.45140882957772055,0.6519022529825085,age_10_18_years_11,mntB,0.6519022529825085
factor(age_1_5_years_12)2,2.6406753299989574,4.204342128354862,0.6280828841662893,0.530253415637839,age_1_5_years_12,mntB,0.530253415637839
factor(age_5_10_years_12)2,8.004354627380044,4.581473565760089,1.7471135678269665,0.0812680196571056,age_5_10_years_12,mntB,0.0812680196571056
factor(age_10_18_years_12)2,-0.4512713060908357,4.9958719335824,-0.09032883790662778,0.9280642227529812,age_10_18_years_12,mntB,0.9280642227529812
factor(breast_fed)2,0.15845893496087127,0.29599524293667495,0.5353428433130998,0.5926654744745374,breast_fed,rpoS.3,0.5926654744745374
factor(baby_food)2,0.033380276687862344,0.34600564228010244,0.09647321491029318,0.9231859557907574,baby_food,rpoS.3,0.9231859557907574
factor(family_food)2,0.6616481961974594,0.5564066949991008,1.1891449224897064,0.23498306604465655,family_food,rpoS.3,0.23498306604465655
factor(age_4_12_months_3)2,-0.2271055481759817,0.277182459434198,-0.8193359299847602,0.4130082888716793,age_4_12_months_3,rpoS.3,0.4130082888716793
factor(age_1_5_years_3)2,-0.2809431530899006,0.272988679743852,-1.0291384732638451,0.30394168641710056,age_1_5_years_3,rpoS.3,0.30394168641710056
factor(age5_10_years_3)2,-0.34376314689324544,0.2681494837158846,-1.281983251019333,0.20047784727658688,age5_10_years_3,rpoS.3,0.20047784727658688
factor(age_10_18_years_3)2,-0.621748638198591,0.2634915724862135,-2.3596528432844748,0.018698219976198527,age_10_18_years_3,rpoS.3,0.018698219976198527
factor(age_1_5_years_5)2,0.035711111519053,0.2898318533219153,0.12321320486257521,0.9019908282307538,age_1_5_years_5,rpoS.3,0.9019908282307538
factor(age_5_10_years_5)2,0.2626409491600684,0.25353500911031757,1.0359159079517444,0.3007718036340399,age_5_10_years_5,rpoS.3,0.3007718036340399
factor(age_10_18_years_5)2,0.5078715332771696,0.24789119512698493,2.0487679403740295,0.04103844809934944,age_10_18_years_5,rpoS.3,0.04103844809934944
factor(age_1_5_years_6)2,0.42063831487292697,0.26575626171464295,1.582797380422928,0.1141374452719064,age_1_5_years_6,rpoS.3,0.1141374452719064
