,Feature_Type,CD_Status
GGB9759_SGB15370,Species,CD_depleted
Ruminococcus_sp_AF41_9,Species,CD_depleted
Catenibacterium_SGB4425,Species,CD_depleted
Phocaeicola_SGB6473,Species,CD_depleted
Akkermansia_muciniphila,Species,CD_depleted
Clostridium_sp_AM22_11AC,Species,CD_depleted
Roseburia_faecis,Species,CD_depleted
Clostridium_sp_NSJ_42,Species,CD_depleted
Blautia_massiliensis,Species,CD_depleted
Evtepia_gabavorous,Species,CD_depleted
Bacteroides_stercoris,Species,CD_depleted
Mogibacterium_sp_NSJ_24,Species,CD_depleted
Ruthenibacterium_lactatiformans,Species,CD_depleted
GGB3277_SGB4327,Species,CD_depleted
Butyricicoccus_sp_AM29_23AC,Species,CD_depleted
Agathobaculum_butyriciproducens,Species,CD_depleted
Clostridium_fessum,Species,CD_depleted
Bacteroides_intestinalis,Species,CD_depleted
Ruminococcus_torques,Species,CD_depleted
Dysosmobacter_welbionis,Species,CD_depleted
GGB35068_SGB47850,Species,CD_depleted
Phascolarctobacterium_faecium,Species,CD_depleted
Roseburia_intestinalis,Species,CD_depleted
Streptococcus_SGB14888,Species,CD_depleted
Clostridium_SGB6179,Species,CD_depleted
ASPASN_PWY,Pathway,CD_enriched
FASYN_ELONG_PWY,Pathway,CD_enriched
GLYCOLYSIS_E_D,Pathway,CD_enriched
HOMOSER_METSYN_PWY,Pathway,CD_enriched
MET_SAM_PWY,Pathway,CD_enriched
METSYN_PWY,Pathway,CD_enriched
P161_PWY,Pathway,CD_enriched
P4_PWY,Pathway,CD_enriched
P461_PWY,Pathway,CD_enriched
PENTOSE_P_PWY,Pathway,CD_enriched
POLYISOPRENSYN_PWY,Pathway,CD_enriched
PWY_5347,Pathway,CD_enriched
PWY_5838,Pathway,CD_enriched
PWY_5840,Pathway,CD_enriched
PWY_5850,Pathway,CD_enriched
PWY_5861,Pathway,CD_enriched
PWY_5897,Pathway,CD_enriched
PWY_5898,Pathway,CD_enriched
PWY_5899,Pathway,CD_enriched
PWY_5918,Pathway,CD_enriched
PWY_5989,Pathway,CD_enriched
PWY_6147,Pathway,CD_enriched
PWY_6282,Pathway,CD_enriched
PWY_6285,Pathway,CD_enriched
PWY_6519,Pathway,CD_enriched
PWY_6961,Pathway,CD_enriched
PWY_7663,Pathway,CD_enriched
PWY_7664,Pathway,CD_enriched
PWY0_1297,Pathway,CD_enriched
PWY0_1298,Pathway,CD_enriched
PWY0_1477,Pathway,CD_enriched
PWY0_301,Pathway,CD_enriched
PWY0_781,Pathway,CD_enriched
PWY0_845,Pathway,CD_enriched
PWY0_862,Pathway,CD_enriched
PWY4FS_7,Pathway,CD_enriched
PWY4FS_8,Pathway,CD_enriched
PWY66_409,Pathway,CD_enriched
PYRIDNUCSAL_PWY,Pathway,CD_enriched
PYRIDOXSYN_PWY,Pathway,CD_enriched
ANAGLYCOLYSIS_PWY,Pathway,CD_depleted
ARGSYNBSUB_PWY,Pathway,CD_depleted
ARO_PWY,Pathway,CD_depleted
COA_PWY,Pathway,CD_depleted
COA_PWY_1,Pathway,CD_depleted
COMPLETE_ARO_PWY,Pathway,CD_depleted
DTDPRHAMSYN_PWY,Pathway,CD_depleted
GLYCOGENSYNTH_PWY,Pathway,CD_depleted
HISTSYN_PWY,Pathway,CD_depleted
NONMEVIPP_PWY,Pathway,CD_depleted
PANTO_PWY,Pathway,CD_depleted
PANTOSYN_PWY,Pathway,CD_depleted
PEPTIDOGLYCANSYN_PWY,Pathway,CD_depleted
PWY_3841,Pathway,CD_depleted
PWY_5097,Pathway,CD_depleted
PWY_5686,Pathway,CD_depleted
PWY_6151,Pathway,CD_depleted
PWY_6163,Pathway,CD_depleted
PWY_6385,Pathway,CD_depleted
PWY_6386,Pathway,CD_depleted
PWY_6387,Pathway,CD_depleted
PWY_6470,Pathway,CD_depleted
PWY_6700,Pathway,CD_depleted
PWY_7238,Pathway,CD_depleted
PWY_7790,Pathway,CD_depleted
PWY_7791,Pathway,CD_depleted
PWY_7851,Pathway,CD_depleted
THISYNARA_PWY,Pathway,CD_depleted
Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin,ARG,CD_enriched
Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,ARG,CD_depleted
oleC,ARG,CD_depleted
basS,ARG,CD_enriched
Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,ARG,CD_enriched
TaeA,ARG,CD_depleted
vanR_gene_in_vanB_cluster,ARG,CD_depleted
hp1181,ARG,CD_depleted
Streptomyces_venezuelae_rox,ARG,CD_enriched
bcrC,ARG,CD_depleted
baeS,ARG,CD_enriched
rphB,ARG,CD_enriched
bmr,ARG,CD_enriched
adeI,ARG,CD_enriched
golS,ARG,CD_enriched
arlR,ARG,CD_enriched
Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A,ARG,CD_depleted
almE,ARG,CD_enriched
vanXY_gene_in_vanG_cluster,ARG,CD_enriched
vanV_gene_in_vanB_cluster,ARG,CD_enriched
OprN,ARG,CD_enriched
mtrA,ARG,CD_enriched
Neisseria_gonorrhoeae_PBP1_conferring_resistance_to_beta-lactam_antibiotics,ARG,CD_enriched
RanB,ARG,CD_enriched
bcr-1,ARG,CD_enriched
smeS,ARG,CD_enriched
tetA(60),ARG,CD_enriched
vanH_gene_in_vanP_cluster,ARG,CD_enriched
vanXY_gene_in_vanE_cluster,ARG,CD_depleted
macB,ARG,CD_depleted
tet(T),ARG,CD_depleted
cpxA,ARG,CD_depleted
mlaD,ARG,CD_depleted
Clostridioides_difficile_EF-Tu_mutants_conferring_resistance_to_elfamycin,ARG,CD_depleted
mecC,ARG,CD_depleted
vanR_gene_in_vanF_cluster,ARG,CD_depleted
Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin,ARG,CD_depleted
IreK,ARG,CD_depleted
rosB,ARG,CD_enriched
tetB(60),ARG,CD_enriched
tetA(46),ARG,CD_enriched
emrY,ARG,CD_enriched
cmlv,ARG,CD_enriched
Enterobacter_cloacae_acrA,ARG,CD_enriched
efrA,ARG,CD_depleted
tsnR,ARG,CD_depleted
tetA(P),ARG,CD_depleted
LpxA,ARG,CD_enriched
Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin,ARG,CD_enriched
Klebsiella_pneumoniae_KpnH,ARG,CD_enriched
Staphylococcus_aureus_rpoB_mutants_conferring_resistance_to_rifampicin,ARG,CD_enriched
mepA,ARG,CD_depleted
Staphylococcus_aureus_mupA_conferring_resistance_to_mupirocin,ARG,CD_depleted
vanD,ARG,CD_enriched
tetA(58),ARG,CD_enriched
Streptococcus_pneumoniae_23S_rRNA_with_mutation_conferring_resistance_to_macrolide_antibiotics,ARG,CD_depleted
TolC,ARG,CD_enriched
adeL,ARG,CD_enriched
PvrR,ARG,CD_enriched
mtrC,ARG,CD_depleted
tet(W/N/W),ARG,CD_enriched
Erm(37),ARG,CD_enriched
tet(35),ARG,CD_enriched
patA,ARG,CD_depleted
Pseudomonas_aeruginosa_CpxR,ARG,CD_enriched
Klebsiella_mutant_PhoP_conferring_antibiotic_resistance_to_colistin,ARG,CD_enriched
arlS,ARG,CD_enriched
lmrD,ARG,CD_enriched
